sid,block,trial,associaiton_1,association_2,association_3,association_4,training_condition,order_condition,symbol,cue,cue_correct,response,rt,correct,phase
9,1,1,4,2,3,1,600,1,4,1,1,4,1199,1,Training
9,1,2,4,2,3,1,600,1,4,1,1,4,748,1,Training
9,1,3,4,2,3,1,600,1,1,4,1,1,549,1,Training
9,1,4,4,2,3,1,600,1,1,2,0,1,493,1,Training
9,1,5,4,2,3,1,600,1,2,2,1,2,373,1,Training
9,1,6,4,2,3,1,600,1,3,3,1,3,350,1,Training
9,1,7,4,2,3,1,600,1,2,2,1,1,519,0,Training
9,1,8,4,2,3,1,600,1,1,4,1,1,400,1,Training
9,1,9,4,2,3,1,600,1,1,4,1,1,584,1,Training
9,1,10,4,2,3,1,600,1,3,3,1,3,417,1,Training
9,1,11,4,2,3,1,600,1,2,2,1,4,378,0,Training
9,1,12,4,2,3,1,600,1,1,4,1,1,561,1,Training
9,1,13,4,2,3,1,600,1,4,1,1,4,570,1,Training
9,1,14,4,2,3,1,600,1,4,1,1,4,530,1,Training
9,1,15,4,2,3,1,600,1,3,3,1,3,347,1,Training
9,1,16,4,2,3,1,600,1,3,3,1,3,516,1,Training
9,1,17,4,2,3,1,600,1,4,4,0,4,412,1,Training
9,1,18,4,2,3,1,600,1,1,4,1,1,389,1,Training
9,1,19,4,2,3,1,600,1,1,4,1,1,478,1,Training
9,1,20,4,2,3,1,600,1,1,4,1,1,535,1,Training
9,2,1,4,2,3,1,600,1,1,4,1,1,511,1,Training
9,2,2,4,2,3,1,600,1,3,3,1,3,424,1,Training
9,2,3,4,2,3,1,600,1,2,2,1,1,448,0,Training
9,2,4,4,2,3,1,600,1,1,4,1,1,393,1,Training
9,2,5,4,2,3,1,600,1,2,2,1,2,578,1,Training
9,2,6,4,2,3,1,600,1,4,1,1,4,458,1,Training
9,2,7,4,2,3,1,600,1,4,1,1,4,451,1,Training
9,2,8,4,2,3,1,600,1,4,1,1,4,428,1,Training
9,2,9,4,2,3,1,600,1,3,1,0,3,340,1,Training
9,2,10,4,2,3,1,600,1,2,2,1,2,525,1,Training
9,2,11,4,2,3,1,600,1,1,4,1,1,358,1,Training
9,2,12,4,2,3,1,600,1,2,3,0,2,446,1,Training
9,2,13,4,2,3,1,600,1,3,3,1,3,438,1,Training
9,2,14,4,2,3,1,600,1,3,3,1,3,415,1,Training
9,2,15,4,2,3,1,600,1,1,4,1,1,455,1,Training
9,2,16,4,2,3,1,600,1,2,2,1,2,480,1,Training
9,2,17,4,2,3,1,600,1,3,3,1,3,360,1,Training
9,2,18,4,2,3,1,600,1,2,1,0,2,449,1,Training
9,2,19,4,2,3,1,600,1,2,4,0,2,586,1,Training
9,2,20,4,2,3,1,600,1,3,3,1,3,434,1,Training
9,3,1,4,2,3,1,600,1,2,2,1,2,432,1,Training
9,3,2,4,2,3,1,600,1,2,2,1,2,329,1,Training
9,3,3,4,2,3,1,600,1,2,2,1,2,337,1,Training
9,3,4,4,2,3,1,600,1,3,3,1,3,362,1,Training
9,3,5,4,2,3,1,600,1,1,4,1,2,451,0,Training
9,3,6,4,2,3,1,600,1,1,4,1,1,412,1,Training
9,3,7,4,2,3,1,600,1,2,2,1,2,468,1,Training
9,3,8,4,2,3,1,600,1,1,4,1,1,380,1,Training
9,3,9,4,2,3,1,600,1,2,1,0,2,501,1,Training
9,3,10,4,2,3,1,600,1,1,4,1,1,349,1,Training
9,3,11,4,2,3,1,600,1,3,4,0,3,310,1,Training
9,3,12,4,2,3,1,600,1,1,4,1,1,479,1,Training
9,3,13,4,2,3,1,600,1,2,2,1,2,456,1,Training
9,3,14,4,2,3,1,600,1,4,1,1,4,464,1,Training
9,3,15,4,2,3,1,600,1,3,3,1,3,312,1,Training
9,3,16,4,2,3,1,600,1,3,3,1,3,385,1,Training
9,3,17,4,2,3,1,600,1,1,4,1,1,394,1,Training
9,3,18,4,2,3,1,600,1,3,3,1,3,435,1,Training
9,3,19,4,2,3,1,600,1,3,3,1,3,396,1,Training
9,3,20,4,2,3,1,600,1,1,4,1,1,452,1,Training
9,4,1,4,2,3,1,600,1,2,2,1,2,640,1,Training
9,4,2,4,2,3,1,600,1,4,1,1,1,413,0,Training
9,4,3,4,2,3,1,600,1,1,4,1,1,497,1,Training
9,4,4,4,2,3,1,600,1,4,1,1,4,554,1,Training
9,4,5,4,2,3,1,600,1,2,2,1,1,403,0,Training
9,4,6,4,2,3,1,600,1,3,3,1,3,396,1,Training
9,4,7,4,2,3,1,600,1,2,2,1,1,389,0,Training
9,4,8,4,2,3,1,600,1,2,2,1,2,381,1,Training
9,4,9,4,2,3,1,600,1,2,2,1,2,326,1,Training
9,4,10,4,2,3,1,600,1,1,4,1,1,399,1,Training
9,4,11,4,2,3,1,600,1,2,2,1,2,440,1,Training
9,4,12,4,2,3,1,600,1,3,3,1,3,353,1,Training
9,4,13,4,2,3,1,600,1,4,1,1,4,393,1,Training
9,4,14,4,2,3,1,600,1,2,2,1,1,514,0,Training
9,4,15,4,2,3,1,600,1,1,4,1,1,763,1,Training
9,4,16,4,2,3,1,600,1,2,2,1,2,340,1,Training
9,4,17,4,2,3,1,600,1,1,4,1,3,412,0,Training
9,4,18,4,2,3,1,600,1,4,1,1,4,549,1,Training
9,4,19,4,2,3,1,600,1,3,3,1,3,462,1,Training
9,4,20,4,2,3,1,600,1,1,4,1,1,423,1,Training
9,5,1,4,2,3,1,600,1,2,2,1,2,736,1,Training
9,5,2,4,2,3,1,600,1,3,1,0,3,425,1,Training
9,5,3,4,2,3,1,600,1,4,1,1,4,449,1,Training
9,5,4,4,2,3,1,600,1,1,1,0,1,458,1,Training
9,5,5,4,2,3,1,600,1,3,3,1,3,402,1,Training
9,5,6,4,2,3,1,600,1,4,1,1,4,491,1,Training
9,5,7,4,2,3,1,600,1,4,1,1,4,532,1,Training
9,5,8,4,2,3,1,600,1,4,1,1,4,397,1,Training
9,5,9,4,2,3,1,600,1,2,2,1,2,469,1,Training
9,5,10,4,2,3,1,600,1,1,1,0,1,510,1,Training
9,5,11,4,2,3,1,600,1,2,2,1,2,535,1,Training
9,5,12,4,2,3,1,600,1,1,2,0,3,399,0,Training
9,5,13,4,2,3,1,600,1,3,1,0,3,393,1,Training
9,5,14,4,2,3,1,600,1,3,3,1,3,369,1,Training
9,5,15,4,2,3,1,600,1,1,4,1,1,441,1,Training
9,5,16,4,2,3,1,600,1,2,2,1,2,514,1,Training
9,5,17,4,2,3,1,600,1,4,1,1,4,458,1,Training
9,5,18,4,2,3,1,600,1,1,4,1,1,627,1,Training
9,5,19,4,2,3,1,600,1,1,4,1,1,508,1,Training
9,5,20,4,2,3,1,600,1,1,4,1,1,341,1,Training
9,6,1,4,2,3,1,600,1,1,3,0,1,448,1,Training
9,6,2,4,2,3,1,600,1,4,4,0,4,473,1,Training
9,6,3,4,2,3,1,600,1,4,1,1,4,370,1,Training
9,6,4,4,2,3,1,600,1,4,1,1,4,379,1,Training
9,6,5,4,2,3,1,600,1,3,3,1,3,308,1,Training
9,6,6,4,2,3,1,600,1,2,2,1,2,397,1,Training
9,6,7,4,2,3,1,600,1,3,3,1,3,309,1,Training
9,6,8,4,2,3,1,600,1,4,1,1,4,494,1,Training
9,6,9,4,2,3,1,600,1,4,1,1,4,471,1,Training
9,6,10,4,2,3,1,600,1,3,3,1,3,288,1,Training
9,6,11,4,2,3,1,600,1,1,4,1,1,425,1,Training
9,6,12,4,2,3,1,600,1,1,4,1,1,354,1,Training
9,6,13,4,2,3,1,600,1,3,1,0,3,363,1,Training
9,6,14,4,2,3,1,600,1,4,1,1,4,340,1,Training
9,6,15,4,2,3,1,600,1,2,3,0,4,333,0,Training
9,6,16,4,2,3,1,600,1,2,1,0,2,277,1,Training
9,6,17,4,2,3,1,600,1,2,2,1,2,302,1,Training
9,6,18,4,2,3,1,600,1,2,2,1,2,263,1,Training
9,6,19,4,2,3,1,600,1,2,2,1,2,416,1,Training
9,6,20,4,2,3,1,600,1,1,1,0,1,377,1,Training
9,7,1,4,2,3,1,600,1,4,1,1,4,465,1,Training
9,7,2,4,2,3,1,600,1,1,4,1,4,330,0,Training
9,7,3,4,2,3,1,600,1,1,4,1,1,403,1,Training
9,7,4,4,2,3,1,600,1,1,4,1,1,331,1,Training
9,7,5,4,2,3,1,600,1,4,1,1,4,436,1,Training
9,7,6,4,2,3,1,600,1,1,4,1,1,285,1,Training
9,7,7,4,2,3,1,600,1,3,2,0,3,325,1,Training
9,7,8,4,2,3,1,600,1,2,2,1,2,526,1,Training
9,7,9,4,2,3,1,600,1,4,1,1,1,359,0,Training
9,7,10,4,2,3,1,600,1,3,3,1,3,400,1,Training
9,7,11,4,2,3,1,600,1,2,2,1,1,424,0,Training
9,7,12,4,2,3,1,600,1,4,1,1,4,625,1,Training
9,7,13,4,2,3,1,600,1,3,3,1,3,426,1,Training
9,7,14,4,2,3,1,600,1,2,2,1,2,531,1,Training
