RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
3182.77597427,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
1070.33085823,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
687.479972839,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
414.953947067,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
366.618156433,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
575.599908829,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
607.092857361,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
526.973962784,3,600,1,0,3,4,5,2,0,1,400,250.0,train,2,E-
270.673036575,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
606.903076172,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
543.633937836,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
191.555023193,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
447.693824768,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
158.903837204,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
350.89302063,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
15.6700611115,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
223.542928696,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
430.423021317,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
383.225917816,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
207.010030746,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
207.537174225,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
270.327091217,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
381.160020828,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
350.488185883,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
175.388813019,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
47.0929145813,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
31.8379402161,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
95.7560539246,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
62.9889965057,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
238.591909409,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
0.0529289245605,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
239.661216736,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
142.805099487,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
207.242012024,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
190.3860569,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
287.110090256,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
159.229040146,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
174.767017365,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
111.764907837,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
622.860908508,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
367.703914642,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
239.598035812,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
543.733119965,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
239.645957947,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
270.395040512,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
62.5867843628,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
175.181865692,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
158.547878265,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
142.861843109,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
798.328876495,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
206.505060196,4,600,0,0,3,4,5,2,0,1,400,250.0,train,5,E-
223.662853241,3,600,1,0,3,4,5,2,0,1,400,250.0,train,2,E-
463.641881943,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
463.611841202,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
797.945022583,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
254.518032074,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
207.720994949,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
526.817083359,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
462.339162827,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
175.256967545,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
383.040904999,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
207.674980164,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
222.732067108,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
270.639896393,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
174.247980118,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
127.13599205,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
175.788879395,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
303.640127182,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
63.8339519501,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
335.693120956,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
191.699981689,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
142.876148224,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
191.698789597,4,600,0,0,3,4,5,2,0,1,400,250.0,train,3,E-
351.623058319,3,600,1,0,3,4,5,2,0,1,400,250.0,train,4,E-
383.721113205,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
191.661119461,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
240.047931671,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
703.171014786,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
527.047157288,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
767.693042755,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
591.181993484,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
383.160829544,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
878.571033478,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
495.676994324,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
254.638195038,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
270.734071732,3,600,1,0,3,4,5,2,0,1,400,250.0,train,4,E-
462.209939957,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
398.845911026,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
638.336896896,3,600,1,1,3,4,5,2,0,1,400,250.0,train,3,E-
239.631891251,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
270.638942719,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
543.719053268,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
159.23500061,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
95.6921577454,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
127.196073532,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
0.053882598877,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
207.69405365,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
110.188007355,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
174.549102783,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
238.433837891,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
111.831903458,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
175.634145737,2,600,2,0,3,4,5,2,0,1,400,250.0,train,1,E-
383.682012558,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
95.8070755005,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
319.625854492,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
222.964048386,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
207.764148712,2,600,2,0,3,4,5,2,0,1,400,250.0,train,5,E-
271.656990051,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
222.874164581,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
207.715034485,2,600,2,1,3,4,5,2,0,1,400,250.0,train,2,E-
191.696166992,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
175.731182098,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
191.832065582,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
223.029851913,4,600,0,1,3,4,5,2,0,1,400,250.0,train,4,E-
159.285068512,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
174.801111221,5,600,3,1,3,4,5,2,0,1,400,250.0,train,5,E-
127.793073654,0,600,5,1,3,4,5,2,0,1,400,250.0,train,0,E-
399.638175964,4,600,0,0,3,4,5,2,0,1,400,250.0,train,3,E-
430.348873138,1,600,4,1,3,4,5,2,0,1,400,250.0,train,1,E-
