RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
11663.5849476,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
3295.83215714,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
2927.81710625,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
2304.10885811,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
1008.35299492,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
976.408958435,1,1000,5,1,0,3,5,2,1,4,0,250.0,train,1,H+
672.240018845,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
1168.36500168,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
1216.68601036,3,1000,0,0,0,3,5,2,1,4,0,250.0,train,4,H+
927.937030792,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
832.216024399,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
912.184000015,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
607.964038849,1,1000,5,1,0,3,5,2,1,4,0,250.0,train,1,H+
976.348876953,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
976.161003113,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
1584.26904678,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
928.153991699,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
832.159996033,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
800.79293251,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
896.209955215,4,1000,4,0,0,3,5,2,1,4,0,250.0,train,3,H+
768.201112747,1,1000,5,0,0,3,5,2,1,4,0,250.0,train,5,H+
1488.04593086,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
1072.18003273,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
800.062894821,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
1120.1300621,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
1008.18681717,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
736.835956573,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
1472.21302986,1,1000,5,1,0,3,5,2,1,4,0,250.0,train,1,H+
1040.38214684,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
1632.22289085,1,1000,5,1,0,3,5,2,1,4,0,250.0,train,1,H+
816.362857819,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
960.376977921,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
784.358978271,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
608.252048492,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
1248.2790947,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
640.21897316,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
528.103113174,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
560.85896492,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
816.090106964,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
1136.41405106,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
448.410987854,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
560.408115387,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
480.408906937,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
607.99908638,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
720.227956772,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
720.165014267,3,1000,0,0,0,3,5,2,1,4,0,250.0,train,5,H+
672.178030014,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
1024.2729187,1,1000,5,0,0,3,5,2,1,4,0,250.0,train,3,H+
784.12103653,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
752.197980881,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
640.342950821,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
800.271034241,3,1000,0,0,0,3,5,2,1,4,0,250.0,train,1,H+
863.713979721,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
992.852926254,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
944.025039673,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
559.807062149,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
784.312963486,4,1000,4,0,0,3,5,2,1,4,0,250.0,train,3,H+
703.844070435,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
767.837047577,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
543.809890747,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
608.273983002,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
432.27314949,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
415.360927582,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
655.826091766,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
1295.78614235,1,1000,5,1,0,3,5,2,1,4,0,250.0,train,1,H+
879.665851593,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
544.312953949,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
735.990047455,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
944.315910339,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
703.93204689,1,1000,5,0,0,3,5,2,1,4,0,250.0,train,5,H+
719.909906387,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
863.7778759,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
672.288179398,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
784.416913986,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
592.044830322,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
927.938938141,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
592.319965363,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
624.891996384,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
591.830968857,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
543.875932693,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
544.267892838,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
592.298984528,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
512.825965881,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
528.790950775,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
768.707036972,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
624.800920486,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
480.810165405,4,1000,4,1,0,3,5,2,1,4,0,250.0,train,4,H+
640.7558918,2,1000,2,1,0,3,5,2,1,4,0,250.0,train,2,H+
623.831033707,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
736.261844635,3,1000,0,0,0,3,5,2,1,4,0,250.0,train,2,H+
447.876930237,3,1000,0,1,0,3,5,2,1,4,0,250.0,train,3,H+
464.355230331,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
560.207843781,0,1000,1,1,0,3,5,2,1,4,0,250.0,train,0,H+
592.012166977,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
656.116962433,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
431.712865829,5,1000,3,1,0,3,5,2,1,4,0,250.0,train,5,H+
