RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
3305.945158,3,1000,2,1,0,1,5,3,4,2,0,250.0,train,3,H+
1563.77387047,4,1000,5,1,0,1,5,3,4,2,0,250.0,train,4,H+
1898.38290215,2,1000,4,1,0,1,5,3,4,2,0,250.0,train,2,H+
1226.34792328,2,1000,4,1,0,1,5,3,4,2,0,250.0,train,2,H+
939.903974533,2,1000,4,1,0,1,5,3,4,2,0,250.0,train,2,H+
698.175907135,3,1000,2,1,0,1,5,3,4,2,0,250.0,train,3,H+
1306.34403229,0,1000,1,1,0,1,5,3,4,2,0,250.0,train,0,H+
619.881868362,4,1000,5,1,0,1,5,3,4,2,0,250.0,train,4,H+
876.549005508,5,1000,3,1,0,1,5,3,4,2,0,250.0,train,5,H+
1162.31799126,1,1000,0,1,0,1,5,3,4,2,0,250.0,train,1,H+
1547.05405235,0,1000,1,1,0,1,5,3,4,2,0,250.0,train,0,H+
826.303005219,5,1000,3,1,0,1,5,3,4,2,0,250.0,train,5,H+
794.248104095,0,1000,1,1,0,1,5,3,4,2,0,250.0,train,0,H+
1050.33016205,2,1000,4,1,0,1,5,3,4,2,0,250.0,train,2,H+
746.347904205,5,1000,3,1,0,1,5,3,4,2,0,250.0,train,5,H+
1066.37907028,1,1000,0,1,0,1,5,3,4,2,0,250.0,train,1,H+
586.213827133,0,1000,1,1,0,1,5,3,4,2,0,250.0,train,0,H+
714.357852936,4,1000,5,1,0,1,5,3,4,2,0,250.0,train,4,H+
410.196065903,1,1000,0,1,0,1,5,3,4,2,0,250.0,train,1,H+
554.156064987,1,1000,0,1,0,1,5,3,4,2,0,250.0,train,1,H+
842.303991318,5,1000,3,1,0,1,5,3,4,2,0,250.0,train,5,H+
474.187135696,4,1000,5,1,0,1,5,3,4,2,0,250.0,train,4,H+
1098.38104248,2,1000,4,1,0,1,5,3,4,2,0,250.0,train,2,H+
554.337024689,5,1000,3,1,0,1,5,3,4,2,0,250.0,train,5,H+
826.354980469,2,1000,4,1,0,1,5,3,4,2,0,250.0,train,2,H+
570.296049118,4,1000,5,1,0,1,5,3,4,2,0,250.0,train,4,H+
362.215995789,5,1000,3,0,0,1,5,3,4,2,0,250.0,train,4,H+
762.210130692,1,1000,0,1,0,1,5,3,4,2,0,250.0,train,1,H+
762.392997742,3,1000,2,1,0,1,5,3,4,2,0,250.0,train,3,H+
763.779163361,4,1000,5,1,0,1,5,3,4,2,0,250.0,train,4,H+
747.696876526,1,1000,0,1,0,1,5,3,4,2,0,250.0,train,1,H+
794.332027435,4,1000,5,1,0,1,5,3,4,2,0,250.0,train,4,H+
522.333860397,5,1000,3,1,0,1,5,3,4,2,0,250.0,train,5,H+
539.937973022,1,1000,0,1,0,1,5,3,4,2,0,250.0,train,1,H+
651.895999908,5,1000,3,0,0,1,5,3,4,2,0,250.0,train,4,H+
666.290998459,4,1000,5,1,0,1,5,3,4,2,0,250.0,train,4,H+
539.855003357,4,1000,5,1,0,1,5,3,4,2,0,250.0,train,4,H+
