RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
9902.62913704,5,600,3,1,4,2,5,3,1,0,400,250.0,train,5,E+
1486.23800278,4,600,1,1,4,2,5,3,1,0,400,250.0,train,4,E+
830.837011337,2,600,0,1,4,2,5,3,1,0,400,250.0,train,2,E+
671.658039093,1,600,5,1,4,2,5,3,1,0,400,250.0,train,1,E+
31.7671298981,0,600,4,1,4,2,5,3,1,0,400,250.0,train,0,E+
254.060029984,5,600,3,1,4,2,5,3,1,0,400,250.0,train,5,E+
237.390041351,4,600,1,1,4,2,5,3,1,0,400,250.0,train,4,E+
671.439886093,2,600,0,1,4,2,5,3,1,0,400,250.0,train,2,E+
95.0539112091,0,600,4,1,4,2,5,3,1,0,400,250.0,train,0,E+
639.293909073,0,600,4,1,4,2,5,3,1,0,400,250.0,train,0,E+
158.025026321,5,600,3,1,4,2,5,3,1,0,400,250.0,train,5,E+
525.480031967,3,600,2,1,4,2,5,3,1,0,400,250.0,train,3,E+
415.5189991,4,600,1,1,4,2,5,3,1,0,400,250.0,train,4,E+
334.218978882,2,600,0,1,4,2,5,3,1,0,400,250.0,train,2,E+
95.550775528,1,600,5,1,4,2,5,3,1,0,400,250.0,train,1,E+
94.4390296936,5,600,3,1,4,2,5,3,1,0,400,250.0,train,5,E+
303.163051605,4,600,1,1,4,2,5,3,1,0,400,250.0,train,4,E+
526.801109314,1,600,5,1,4,2,5,3,1,0,400,250.0,train,1,E+
95.6301689148,5,600,3,1,4,2,5,3,1,0,400,250.0,train,5,E+
190.389871597,2,600,0,1,4,2,5,3,1,0,400,250.0,train,2,E+
110.498905182,1,600,5,1,4,2,5,3,1,0,400,250.0,train,1,E+
127.624988556,1,600,5,1,4,2,5,3,1,0,400,250.0,train,1,E+
0.0557899475098,1,600,5,1,4,2,5,3,1,0,400,250.0,train,1,E+
63.3590221405,0,600,4,1,4,2,5,3,1,0,400,250.0,train,0,E+
95.6709384918,2,600,0,1,4,2,5,3,1,0,400,250.0,train,2,E+
174.223184586,4,600,1,1,4,2,5,3,1,0,400,250.0,train,4,E+
574.80597496,3,600,2,1,4,2,5,3,1,0,400,250.0,train,3,E+
142.237901688,0,600,4,1,4,2,5,3,1,0,400,250.0,train,0,E+
238.899946213,4,600,1,1,4,2,5,3,1,0,400,250.0,train,4,E+
927.199840546,4,600,1,1,4,2,5,3,1,0,400,250.0,train,4,E+
