RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
4558.77614021,0,600,2,0,4,5,2,0,3,1,400,250.0,train,2,E-
1263.44418526,5,600,0,1,4,5,2,0,3,1,400,250.0,train,5,E-
1279.03985977,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
463.0818367,4,600,1,0,4,5,2,0,3,1,400,250.0,train,3,E-
399.137973785,3,600,5,1,4,5,2,0,3,1,400,250.0,train,3,E-
125.473022461,5,600,0,1,4,5,2,0,3,1,400,250.0,train,5,E-
318.979024887,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
95.2119827271,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
0.053882598877,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
221.968889236,5,600,0,1,4,5,2,0,3,1,400,250.0,train,5,E-
46.3201999664,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
63.225030899,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
111.223936081,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
142.30799675,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
527.070045471,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
31.2039852142,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
286.945819855,4,600,1,1,4,5,2,0,3,1,400,250.0,train,4,E-
126.326084137,2,600,3,0,4,5,2,0,3,1,400,250.0,train,3,E-
286.236047745,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
159.616947174,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
542.048931122,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
95.1290130615,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
142.335176468,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
47.1339225769,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
95.3381061554,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
31.6689014435,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
15.1000022888,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
239.243030548,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
174.304008484,4,600,1,0,4,5,2,0,3,1,400,250.0,train,5,E-
335.461139679,4,600,1,1,4,5,2,0,3,1,400,250.0,train,4,E-
255.005836487,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
0.0689029693604,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
78.4690380096,5,600,0,1,4,5,2,0,3,1,400,250.0,train,5,E-
223.54888916,3,600,5,0,4,5,2,0,3,1,400,250.0,train,2,E-
30.1730632782,3,600,5,1,4,5,2,0,3,1,400,250.0,train,3,E-
63.679933548,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
79.6959400177,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
542.255878448,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
47.003030777,4,600,1,1,4,5,2,0,3,1,400,250.0,train,4,E-
94.8929786682,4,600,1,1,4,5,2,0,3,1,400,250.0,train,4,E-
47.4760532379,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
366.869926453,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
94.4409370422,3,600,5,0,4,5,2,0,3,1,400,250.0,train,2,E-
335.603952408,4,600,1,1,4,5,2,0,3,1,400,250.0,train,4,E-
190.515995026,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
430.979013443,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
158.933877945,5,600,0,0,4,5,2,0,3,1,400,250.0,train,4,E-
222.238063812,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
206.074953079,4,600,1,0,4,5,2,0,3,1,400,250.0,train,5,E-
255.620002747,3,600,5,1,4,5,2,0,3,1,400,250.0,train,3,E-
207.068920135,5,600,0,1,4,5,2,0,3,1,400,250.0,train,5,E-
111.135959625,3,600,5,1,4,5,2,0,3,1,400,250.0,train,3,E-
191.168785095,5,600,0,1,4,5,2,0,3,1,400,250.0,train,5,E-
63.7059211731,4,600,1,0,4,5,2,0,3,1,400,250.0,train,3,E-
287.575006485,2,600,3,1,4,5,2,0,3,1,400,250.0,train,2,E-
126.989126205,3,600,5,1,4,5,2,0,3,1,400,250.0,train,3,E-
0.0550746917725,3,600,5,1,4,5,2,0,3,1,400,250.0,train,3,E-
111.710071564,5,600,0,1,4,5,2,0,3,1,400,250.0,train,5,E-
94.456911087,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
2334.4399929,0,600,2,1,4,5,2,0,3,1,400,250.0,train,0,E-
414.968013763,1,600,4,1,4,5,2,0,3,1,400,250.0,train,1,E-
