RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
1263.58604431,1,1000,0,0,5,1,4,3,2,0,0,250.0,train,4,H+
11598.3521938,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
7023.16117287,5,1000,1,1,5,1,4,3,2,0,0,250.0,train,5,H+
1711.8639946,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
3568.36009026,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
2031.97979927,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
1599.92909431,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
2735.77690125,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1295.93086243,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1328.06301117,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1375.88000298,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
1696.06089592,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
3327.70586014,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
3311.66005135,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1679.93593216,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
3807.65414238,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1503.96704674,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
960.206985474,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1344.02799606,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1328.12809944,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1615.99111557,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
799.834012985,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1328.06587219,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
816.117048264,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
912.066936493,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
879.900932312,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
1120.05901337,1,1000,0,0,5,1,4,3,2,0,0,250.0,train,0,H+
3135.39791107,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
2031.57901764,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
4223.54698181,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
1503.86309624,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1983.9990139,5,1000,1,1,5,1,4,3,2,0,0,250.0,train,5,H+
1328.0878067,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
1807.8930378,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
736.246109009,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
928.16400528,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
656.050920486,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
800.150156021,5,1000,1,0,5,1,4,3,2,0,0,250.0,train,4,H+
1280.00402451,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1760.02311707,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
928.260803223,5,1000,1,1,5,1,4,3,2,0,0,250.0,train,5,H+
2207.65709877,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
1232.19680786,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
2783.66589546,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
864.202976227,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1584.05017853,0,1000,4,0,5,1,4,3,2,0,0,250.0,train,1,H+
2895.76601982,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
3295.78089714,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
1568.03297997,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
3007.82108307,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1631.95490837,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
3855.27706146,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1519.99497414,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
1775.97689629,5,1000,1,1,5,1,4,3,2,0,0,250.0,train,5,H+
1072.19409943,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
1072.11399078,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
2319.94009018,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
2351.82189941,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1295.93920708,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
1791.9781208,5,1000,1,1,5,1,4,3,2,0,0,250.0,train,5,H+
1024.35398102,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
928.333044052,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1199.94688034,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
912.158966064,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
640.153884888,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
784.193992615,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
784.198999405,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
528.194904327,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
704.282999039,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1072.12281227,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
704.220056534,5,1000,1,1,5,1,4,3,2,0,0,250.0,train,5,H+
736.885070801,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
800.258874893,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
736.117839813,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
671.855926514,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
1328.10211182,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1471.79794312,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
735.746145248,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
719.964981079,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
927.967071533,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
2143.85700226,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1279.99997139,1,1000,0,0,5,1,4,3,2,0,0,250.0,train,2,H+
959.964990616,5,1000,1,1,5,1,4,3,2,0,0,250.0,train,5,H+
736.178874969,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
639.869213104,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
1216.12501144,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
639.96720314,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
2063.82918358,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
1104.2201519,2,1000,5,0,5,1,4,3,2,0,0,250.0,train,1,H+
1567.92497635,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
736.10496521,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
591.958999634,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
1839.91408348,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
672.164916992,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
816.278934479,3,1000,2,0,5,1,4,3,2,0,0,250.0,train,5,H+
1775.77018738,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
3343.5549736,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
799.932956696,0,1000,4,1,5,1,4,3,2,0,0,250.0,train,0,H+
1551.90610886,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
687.90102005,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
1152.25887299,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
719.94304657,1,1000,0,0,5,1,4,3,2,0,0,250.0,train,2,H+
1055.87601662,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
704.071044922,4,1000,3,1,5,1,4,3,2,0,0,250.0,train,4,H+
815.916061401,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
720.084905624,5,1000,1,1,5,1,4,3,2,0,0,250.0,train,5,H+
640.261888504,2,1000,5,1,5,1,4,3,2,0,0,250.0,train,2,H+
879.765033722,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
1743.85595322,1,1000,0,1,5,1,4,3,2,0,0,250.0,train,1,H+
1311.81192398,3,1000,2,1,5,1,4,3,2,0,0,250.0,train,3,H+
