RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
4526.05390549,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
846.23503685,3,600,5,1,2,0,1,4,3,5,400,250.0,train,3,E+
238.806009293,3,600,5,1,2,0,1,4,3,5,400,250.0,train,3,E+
143.001794815,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
111.130952835,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
255.571842194,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
46.9100475311,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
143.504858017,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
127.071142197,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
47.5289821625,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
47.6670265198,0,600,0,1,2,0,1,4,3,5,400,250.0,train,0,E+
141.571044922,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
287.056922913,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
62.2680187225,3,600,5,1,2,0,1,4,3,5,400,250.0,train,3,E+
47.6598739624,3,600,5,1,2,0,1,4,3,5,400,250.0,train,3,E+
63.453912735,0,600,0,1,2,0,1,4,3,5,400,250.0,train,0,E+
63.1430149078,5,600,4,0,2,0,1,4,3,5,400,250.0,train,3,E+
287.067174911,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
62.9749298096,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
223.599910736,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
527.033090591,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
271.153926849,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
207.129955292,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
271.100997925,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
639.049053192,0,600,0,1,2,0,1,4,3,5,400,250.0,train,0,E+
254.840135574,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
191.032886505,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
223.57916832,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
78.34815979,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
335.049152374,0,600,0,1,2,0,1,4,3,5,400,250.0,train,0,E+
335.01791954,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
239.092826843,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
175.027132034,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
175.524950027,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
95.4339504242,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
335.449934006,3,600,5,0,2,0,1,4,3,5,400,250.0,train,4,E+
319.565057755,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
79.3340206146,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
303.611040115,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
127.726078033,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
271.534919739,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
159.591913223,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
159.353017807,3,600,5,1,2,0,1,4,3,5,400,250.0,train,3,E+
95.7019329071,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
255.572080612,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
239.64381218,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
271.589040756,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
142.45390892,5,600,4,1,2,0,1,4,3,5,400,250.0,train,5,E+
271.66891098,3,600,5,1,2,0,1,4,3,5,400,250.0,train,3,E+
94.526052475,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
287.644863129,0,600,0,1,2,0,1,4,3,5,400,250.0,train,0,E+
62.9420280457,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
303.609132767,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
206.263065338,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
3262.09211349,0,600,0,1,2,0,1,4,3,5,400,250.0,train,0,E+
175.045013428,2,600,1,1,2,0,1,4,3,5,400,250.0,train,2,E+
382.735013962,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
159.546136856,1,600,3,1,2,0,1,4,3,5,400,250.0,train,1,E+
62.2429847717,0,600,0,1,2,0,1,4,3,5,400,250.0,train,0,E+
158.947944641,0,600,0,1,2,0,1,4,3,5,400,250.0,train,0,E+
63.1470680237,0,600,0,1,2,0,1,4,3,5,400,250.0,train,0,E+
255.203008652,4,600,2,1,2,0,1,4,3,5,400,250.0,train,4,E+
