RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
7614.38512802,4,600,2,0,2,1,3,4,0,5,400,250.0,train,0,E-
4046.93889618,2,600,1,1,2,1,3,4,0,5,400,250.0,train,2,E-
1470.92103958,1,600,0,1,2,1,3,4,0,5,400,250.0,train,1,E-
943.032026291,2,600,1,1,2,1,3,4,0,5,400,250.0,train,2,E-
719.059944153,2,600,1,1,2,1,3,4,0,5,400,250.0,train,2,E-
637.524843216,0,600,5,1,2,1,3,4,0,5,400,250.0,train,0,E-
783.097982407,3,600,3,1,2,1,3,4,0,5,400,250.0,train,3,E-
863.682031631,4,600,2,0,2,1,3,4,0,5,400,250.0,train,3,E-
559.684991837,0,600,5,1,2,1,3,4,0,5,400,250.0,train,0,E-
303.627967834,0,600,5,1,2,1,3,4,0,5,400,250.0,train,0,E-
142.574071884,4,600,2,0,2,1,3,4,0,5,400,250.0,train,2,E-
238.279104233,4,600,2,1,2,1,3,4,0,5,400,250.0,train,4,E-
94.2051410675,5,600,4,1,2,1,3,4,0,5,400,250.0,train,5,E-
174.062013626,3,600,3,1,2,1,3,4,0,5,400,250.0,train,3,E-
79.5760154724,3,600,3,1,2,1,3,4,0,5,400,250.0,train,3,E-
45.951128006,3,600,3,1,2,1,3,4,0,5,400,250.0,train,3,E-
110.997915268,2,600,1,1,2,1,3,4,0,5,400,250.0,train,2,E-
174.373149872,5,600,4,1,2,1,3,4,0,5,400,250.0,train,5,E-
111.830234528,1,600,0,1,2,1,3,4,0,5,400,250.0,train,1,E-
31.172990799,1,600,0,1,2,1,3,4,0,5,400,250.0,train,1,E-
159.102916718,5,600,4,1,2,1,3,4,0,5,400,250.0,train,5,E-
111.461162567,4,600,2,1,2,1,3,4,0,5,400,250.0,train,4,E-
47.3198890686,4,600,2,1,2,1,3,4,0,5,400,250.0,train,4,E-
111.653089523,5,600,4,1,2,1,3,4,0,5,400,250.0,train,5,E-
