RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
6775.18510818,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
535.609006882,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
169.041156769,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
663.554906845,4,600,2,1,1,3,2,4,5,0,400,250.0,train,4,E+
233.154058456,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
232.474803925,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
169.024944305,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
104.375123978,2,600,3,0,1,3,2,4,5,0,400,250.0,train,4,E+
471.772909164,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
215.768814087,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
697.12305069,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
135.902166367,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
345.134973526,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
89.1580581665,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
89.2100334167,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
392.687082291,4,600,2,0,1,3,2,4,5,0,400,250.0,train,5,E+
104.936122894,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
729.159116745,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
183.573007584,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
679.592847824,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
55.5610656738,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
183.799982071,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
503.610134125,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
231.737852097,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
343.446016312,4,600,2,1,1,3,2,4,5,0,400,250.0,train,4,E+
118.560791016,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
185.041904449,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
151.695013046,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
311.681985855,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
647.933006287,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
71.7768669128,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
423.768043518,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
119.879961014,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
615.882158279,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
183.902978897,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
215.892076492,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
183.979034424,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
71.8011856079,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
57.1990013123,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
119.784116745,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
183.825969696,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
57.265996933,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
40.5750274658,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
214.442968369,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
231.85300827,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
135.474920273,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
375.74005127,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
167.582988739,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
183.683872223,2,600,3,0,1,3,2,4,5,0,400,250.0,train,1,E+
345.336914062,4,600,2,1,1,3,2,4,5,0,400,250.0,train,4,E+
136.582136154,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
215.601921082,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
89.1749858856,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
119.709968567,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
7.76791572571,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
374.69291687,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
23.6830711365,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
231.731176376,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
183.781862259,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
167.873859406,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
136.425018311,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
167.8378582,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
8.64887237549,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
119.902133942,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
71.9349384308,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
503.895998001,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
343.811988831,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
57.1238994598,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
295.779943466,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
23.6301422119,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
24.6489048004,5,600,5,1,1,3,2,4,5,0,400,250.0,train,5,E+
119.677066803,1,600,1,1,1,3,2,4,5,0,400,250.0,train,1,E+
264.633893967,4,600,2,1,1,3,2,4,5,0,400,250.0,train,4,E+
89.1969203949,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
408.573865891,0,600,4,1,1,3,2,4,5,0,400,250.0,train,0,E+
185.228824615,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
376.245975494,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
311.558961868,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
199.856996536,3,600,0,1,1,3,2,4,5,0,400,250.0,train,3,E+
279.716968536,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
231.731891632,2,600,3,1,1,3,2,4,5,0,400,250.0,train,2,E+
