RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
3325.96707344,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
2158.86282921,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
735.139131546,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
238.986968994,0,600,2,1,3,4,5,0,2,1,400,250.0,train,0,E+
223.114967346,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
287.026166916,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
575.09803772,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
815.192937851,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
159.076929092,3,600,1,0,3,4,5,0,2,1,400,250.0,train,1,E+
623.117208481,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
287.20498085,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
253.399133682,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
462.005853653,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
351.114034653,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
303.215026855,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
319.110155106,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
207.119941711,0,600,2,1,3,4,5,0,2,1,400,250.0,train,0,E+
255.121946335,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
191.13779068,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
63.2348060608,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
351.115942001,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
143.160820007,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
223.066091537,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
591.157197952,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
94.3329334259,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
47.2328662872,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
286.775112152,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
79.5831680298,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
126.414060593,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
207.001924515,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
63.0750656128,3,600,1,0,3,4,5,0,2,1,400,250.0,train,2,E+
174.994945526,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
111.730098724,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
15.1309967041,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
78.2420635223,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
110.198974609,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
111.108064651,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
79.6899795532,1,600,4,0,3,4,5,0,2,1,400,250.0,train,2,E+
319.071054459,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
143.356800079,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
159.014225006,0,600,2,1,3,4,5,0,2,1,400,250.0,train,0,E+
479.166984558,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
271.131038666,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
223.009109497,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
158.373117447,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
207.545995712,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
158.786058426,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
143.606901169,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
127.547979355,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
191.565036774,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
207.499980927,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
238.204956055,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
222.395896912,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
286.543130875,0,600,2,1,3,4,5,0,2,1,400,250.0,train,0,E+
239.373922348,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
302.227973938,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
399.580955505,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
239.570856094,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
175.559043884,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
239.02797699,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
142.203807831,0,600,2,1,3,4,5,0,2,1,400,250.0,train,0,E+
95.7009792328,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
207.493782043,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
175.264835358,0,600,2,1,3,4,5,0,2,1,400,250.0,train,0,E+
159.132957458,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
47.1670627594,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
175.135135651,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
0.0319480895996,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
110.782146454,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
350.21686554,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
158.225059509,1,600,4,0,3,4,5,0,2,1,400,250.0,train,2,E+
223.012924194,3,600,1,0,3,4,5,0,2,1,400,250.0,train,4,E+
191.494941711,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
142.140865326,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
142.207860947,5,600,3,1,3,4,5,0,2,1,400,250.0,train,5,E+
158.632040024,0,600,2,1,3,4,5,0,2,1,400,250.0,train,0,E+
318.040847778,3,600,1,1,3,4,5,0,2,1,400,250.0,train,3,E+
238.507986069,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
143.373012543,1,600,4,1,3,4,5,0,2,1,400,250.0,train,1,E+
223.191976547,2,600,5,1,3,4,5,0,2,1,400,250.0,train,2,E+
190.06896019,4,600,0,1,3,4,5,0,2,1,400,250.0,train,4,E+
