RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
9406.15701675,2,600,5,1,3,0,1,5,2,4,400,250.0,train,2,E-
1742.89894104,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
2015.11907578,3,600,1,1,3,0,1,5,2,4,400,250.0,train,3,E-
2159.17301178,0,600,0,1,3,0,1,5,2,4,400,250.0,train,0,E-
1327.0471096,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
1647.18484879,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
1742.8278923,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
1631.22582436,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
1727.23603249,2,600,5,1,3,0,1,5,2,4,400,250.0,train,2,E-
1279.14905548,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
1071.05493546,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
1151.13806725,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
991.264104843,3,600,1,1,3,0,1,5,2,4,400,250.0,train,3,E-
1199.53203201,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
623.284101486,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
975.214004517,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
1247.23696709,3,600,1,1,3,0,1,5,2,4,400,250.0,train,3,E-
1103.38807106,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
751.217126846,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
1215.20805359,0,600,0,1,3,0,1,5,2,4,400,250.0,train,0,E-
622.946023941,0,600,0,1,3,0,1,5,2,4,400,250.0,train,0,E-
639.251947403,3,600,1,0,3,0,1,5,2,4,400,250.0,train,5,E-
1343.04404259,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
1023.09513092,3,600,1,0,3,0,1,5,2,4,400,250.0,train,4,E-
1039.23511505,2,600,5,0,3,0,1,5,2,4,400,250.0,train,1,E-
911.167860031,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
431.605815887,0,600,0,1,3,0,1,5,2,4,400,250.0,train,0,E-
847.238063812,2,600,5,1,3,0,1,5,2,4,400,250.0,train,2,E-
479.164838791,3,600,1,1,3,0,1,5,2,4,400,250.0,train,3,E-
991.088151932,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
431.151866913,2,600,5,1,3,0,1,5,2,4,400,250.0,train,2,E-
606.364965439,4,600,4,0,3,0,1,5,2,4,400,250.0,train,5,E-
655.62415123,3,600,1,1,3,0,1,5,2,4,400,250.0,train,3,E-
431.261777878,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
367.173910141,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
479.083061218,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
943.299055099,3,600,1,1,3,0,1,5,2,4,400,250.0,train,3,E-
511.240005493,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
431.139945984,2,600,5,1,3,0,1,5,2,4,400,250.0,train,2,E-
495.604991913,2,600,5,1,3,0,1,5,2,4,400,250.0,train,2,E-
431.174993515,3,600,1,1,3,0,1,5,2,4,400,250.0,train,3,E-
319.159984589,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
511.184930801,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
1343.13082695,5,600,2,0,3,0,1,5,2,4,400,250.0,train,4,E-
783.664941788,2,600,5,1,3,0,1,5,2,4,400,250.0,train,2,E-
270.375013351,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
910.509109497,4,600,4,1,3,0,1,5,2,4,400,250.0,train,4,E-
415.631055832,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
287.564992905,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
335.772037506,0,600,0,1,3,0,1,5,2,4,400,250.0,train,0,E-
287.601947784,0,600,0,1,3,0,1,5,2,4,400,250.0,train,0,E-
350.471973419,3,600,1,1,3,0,1,5,2,4,400,250.0,train,3,E-
287.201881409,2,600,5,1,3,0,1,5,2,4,400,250.0,train,2,E-
671.719074249,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
575.695991516,1,600,3,1,3,0,1,5,2,4,400,250.0,train,1,E-
719.695091248,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
479.523181915,3,600,1,1,3,0,1,5,2,4,400,250.0,train,3,E-
511.630058289,2,600,5,1,3,0,1,5,2,4,400,250.0,train,2,E-
350.776910782,5,600,2,1,3,0,1,5,2,4,400,250.0,train,5,E-
