RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
1919.88492012,4,1000,2,1,0,3,1,4,2,5,0,250.0,train,4,M
960.295200348,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
544.399023056,4,1000,2,1,0,3,1,4,2,5,0,250.0,train,4,M
624.274015427,3,1000,0,1,0,3,1,4,2,5,0,250.0,train,3,M
528.244972229,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
494.531869888,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
304.563999176,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
480.52406311,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
399.000883102,5,1000,4,0,0,3,1,4,2,5,0,250.0,train,3,M
654.661178589,4,1000,2,1,0,3,1,4,2,5,0,250.0,train,4,M
511.339902878,3,1000,0,1,0,3,1,4,2,5,0,250.0,train,3,M
623.814105988,5,1000,4,0,0,3,1,4,2,5,0,250.0,train,4,M
351.223945618,5,1000,4,1,0,3,1,4,2,5,0,250.0,train,5,M
463.404893875,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
431.431055069,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
511.805057526,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
416.41998291,3,1000,0,0,0,3,1,4,2,5,0,250.0,train,2,M
479.484081268,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
368.278980255,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
479.432821274,4,1000,2,1,0,3,1,4,2,5,0,250.0,train,4,M
304.275035858,5,1000,4,1,0,3,1,4,2,5,0,250.0,train,5,M
368.459939957,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
447.654008865,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
479.342937469,3,1000,0,1,0,3,1,4,2,5,0,250.0,train,3,M
464.40410614,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
416.86797142,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
400.487184525,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
495.95785141,5,1000,4,1,0,3,1,4,2,5,0,250.0,train,5,M
319.437980652,4,1000,2,1,0,3,1,4,2,5,0,250.0,train,4,M
495.851039886,5,1000,4,1,0,3,1,4,2,5,0,250.0,train,5,M
351.677894592,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
447.806119919,4,1000,2,1,0,3,1,4,2,5,0,250.0,train,4,M
447.62301445,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
527.479171753,3,1000,0,1,0,3,1,4,2,5,0,250.0,train,3,M
399.814128876,5,1000,4,1,0,3,1,4,2,5,0,250.0,train,5,M
480.314970016,5,1000,4,0,0,3,1,4,2,5,0,250.0,train,3,M
480.616092682,4,1000,2,1,0,3,1,4,2,5,0,250.0,train,4,M
351.409912109,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
383.919000626,2,1000,5,0,0,3,1,4,2,5,0,250.0,train,1,M
511.511802673,1,1000,3,0,0,3,1,4,2,5,0,250.0,train,2,M
463.497877121,5,1000,4,1,0,3,1,4,2,5,0,250.0,train,5,M
399.564027786,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
543.565988541,3,1000,0,1,0,3,1,4,2,5,0,250.0,train,3,M
511.970043182,3,1000,0,1,0,3,1,4,2,5,0,250.0,train,3,M
447.439908981,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
415.879964828,5,1000,4,1,0,3,1,4,2,5,0,250.0,train,5,M
561.281204224,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
576.096057892,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
495.66411972,3,1000,0,0,0,3,1,4,2,5,0,250.0,train,2,M
479.359865189,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
479.341030121,4,1000,2,1,0,3,1,4,2,5,0,250.0,train,4,M
527.484178543,3,1000,0,1,0,3,1,4,2,5,0,250.0,train,3,M
384.289979935,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
480.022907257,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
415.96698761,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
432.399988174,5,1000,4,1,0,3,1,4,2,5,0,250.0,train,5,M
496.401071548,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
384.401082993,2,1000,5,0,0,3,1,4,2,5,0,250.0,train,4,M
559.543132782,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
879.966020584,2,1000,5,0,0,3,1,4,2,5,0,250.0,train,1,M
543.758153915,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
463.317871094,1,1000,3,1,0,3,1,4,2,5,0,250.0,train,1,M
559.87405777,3,1000,0,1,0,3,1,4,2,5,0,250.0,train,3,M
528.105974197,3,1000,0,1,0,3,1,4,2,5,0,250.0,train,3,M
448.744058609,0,1000,1,1,0,3,1,4,2,5,0,250.0,train,0,M
350.876808167,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
399.96099472,2,1000,5,1,0,3,1,4,2,5,0,250.0,train,2,M
