RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
2505.87797165,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
1211.70496941,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
667.849063873,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
523.874998093,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
570.901870728,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
603.851079941,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
1275.79903603,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
523.930072784,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
490.497112274,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
378.564834595,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
411.163806915,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
362.571001053,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
378.524065018,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
283.840894699,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
491.92404747,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
330.482959747,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
314.528942108,2,1000,1,0,2,3,4,5,1,0,0,250.0,train,0,M
762.625932693,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
554.623842239,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
953.20391655,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
458.451032639,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
523.102045059,4,1000,3,0,2,3,4,5,1,0,0,250.0,train,5,M
651.729106903,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
603.830099106,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
570.341825485,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
443.984031677,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
586.399078369,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
490.396976471,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
362.359046936,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
458.369016647,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
428.346157074,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
378.424882889,2,1000,1,0,2,3,4,5,1,0,0,250.0,train,0,M
474.380016327,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
410.578966141,1,1000,5,0,2,3,4,5,1,0,0,250.0,train,2,M
555.073022842,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
346.450090408,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
506.330013275,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
395.950078964,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
459.907054901,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
555.834054947,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
490.589141846,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
490.557909012,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
458.507061005,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
394.546031952,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
410.56895256,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
410.601139069,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
491.925954819,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
347.964048386,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
410.603046417,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
426.630973816,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
1097.14007378,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
458.640098572,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
410.451173782,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
377.230882645,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
587.989091873,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
522.501945496,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
650.516986847,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
395.436048508,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
377.168178558,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
746.468067169,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
426.412820816,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
459.08498764,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
778.357028961,3,1000,0,0,2,3,4,5,1,0,0,250.0,train,2,M
554.446935654,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
651.082992554,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
508.982896805,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
474.521875381,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
570.58095932,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
619.828939438,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
795.963048935,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
490.581989288,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
570.595026016,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
651.921987534,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
394.564151764,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
617.262840271,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
442.52705574,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
570.558071136,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
522.582054138,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
746.58203125,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
491.074085236,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
522.558927536,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
554.025173187,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
426.478862762,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
456.432104111,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
682.414054871,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
378.524065018,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
394.546985626,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
507.986783981,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
442.466974258,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
554.533958435,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
363.850831985,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
427.899122238,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
362.504959106,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
394.442796707,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
378.396034241,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
554.239988327,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
395.847082138,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
394.346952438,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
442.456960678,4,1000,3,0,2,3,4,5,1,0,0,250.0,train,5,M
410.410881042,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
522.543907166,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
411.962032318,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
379.854917526,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
682.478904724,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
475.934028625,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
587.949037552,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
475.90303421,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
442.551851273,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
426.424980164,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
362.534999847,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
554.535150528,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
426.517963409,2,1000,1,0,2,3,4,5,1,0,0,250.0,train,1,M
1418.62797737,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
666.574954987,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
523.83184433,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
554.557085037,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
506.376028061,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
538.614988327,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
523.952960968,4,1000,3,0,2,3,4,5,1,0,0,250.0,train,5,M
1244.03595924,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
394.194126129,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
443.833827972,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
347.043037415,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
475.791931152,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
522.525072098,3,1000,0,0,2,3,4,5,1,0,0,250.0,train,2,M
490.921974182,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
698.50897789,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
538.42997551,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
474.442958832,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
346.460103989,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
426.532030106,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
554.413080215,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
539.986133575,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
475.044965744,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
523.895025253,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
458.009958267,3,1000,0,0,2,3,4,5,1,0,0,250.0,train,2,M
506.947994232,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
426.561117172,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
490.547180176,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
523.854970932,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
474.550008774,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
490.564107895,3,1000,0,0,2,3,4,5,1,0,0,250.0,train,2,M
442.583084106,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
443.111896515,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
633.08596611,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
475.116968155,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
650.614023209,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
491.083145142,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
666.476964951,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
826.606988907,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
458.452939987,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
443.977832794,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
411.829948425,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
586.369991302,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
459.831953049,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
506.376981735,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
426.509857178,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
442.440986633,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
698.459863663,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
571.879863739,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
842.440128326,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
443.930864334,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
378.561019897,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
603.965044022,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
458.504915237,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
1194.54598427,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
473.115921021,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
555.942058563,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
587.124109268,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
714.627981186,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
410.618066788,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
377.272129059,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
346.992969513,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
618.465900421,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
635.16497612,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
458.527088165,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
442.636013031,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
554.515838623,4,1000,3,0,2,3,4,5,1,0,0,250.0,train,5,M
458.497047424,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
794.564008713,3,1000,0,0,2,3,4,5,1,0,0,250.0,train,4,M
554.993152618,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
460.011005402,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
555.057048798,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
442.38114357,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
427.068948746,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
378.471136093,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
522.439002991,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
474.421977997,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
538.425207138,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
522.381067276,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
442.430019379,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
409.918785095,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
442.368030548,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
507.884025574,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
475.996017456,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
426.386833191,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
683.913946152,3,1000,0,0,2,3,4,5,1,0,0,250.0,train,2,M
442.525863647,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
698.524951935,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
635.944843292,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
506.248950958,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
570.569992065,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
442.555904388,0,1000,4,1,2,3,4,5,1,0,0,250.0,train,0,M
458.561182022,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
410.583972931,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
778.554916382,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
586.607933044,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
522.270202637,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
538.611888885,4,1000,3,1,2,3,4,5,1,0,0,250.0,train,4,M
954.596042633,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
474.534988403,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
442.616939545,1,1000,5,1,2,3,4,5,1,0,0,250.0,train,1,M
426.516056061,2,1000,1,1,2,3,4,5,1,0,0,250.0,train,2,M
474.366188049,3,1000,0,1,2,3,4,5,1,0,0,250.0,train,3,M
458.522796631,5,1000,2,1,2,3,4,5,1,0,0,250.0,train,5,M
