RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
2815.69910049,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
784.646987915,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
526.730060577,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
640.412807465,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
736.178874969,3,1000,4,1,2,1,0,4,5,3,0,250.0,train,3,M
511.930942535,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
656.158924103,4,1000,2,0,2,1,0,4,5,3,0,250.0,train,5,M
576.738119125,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
928.313016891,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
480.387926102,2,1000,1,0,2,1,0,4,5,3,0,250.0,train,1,M
688.450098038,4,1000,2,1,2,1,0,4,5,3,0,250.0,train,4,M
528.354167938,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
480.504989624,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
576.469182968,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
512.348175049,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
672.405958176,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
480.800151825,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
688.553094864,3,1000,4,1,2,1,0,4,5,3,0,250.0,train,3,M
528.325080872,3,1000,4,1,2,1,0,4,5,3,0,250.0,train,3,M
512.867927551,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
592.366933823,4,1000,2,1,2,1,0,4,5,3,0,250.0,train,4,M
464.444875717,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
480.503082275,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
496.52504921,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
464.546918869,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
544.47388649,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
560.460805893,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
480.442047119,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
512.456893921,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
512.429952621,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
592.50497818,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
528.496980667,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
656.509876251,4,1000,2,1,2,1,0,4,5,3,0,250.0,train,4,M
400.468111038,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
704.54287529,4,1000,2,1,2,1,0,4,5,3,0,250.0,train,4,M
464.43104744,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
496.876001358,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
800.509929657,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
560.868024826,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
368.828058243,3,1000,4,0,2,1,0,4,5,3,0,250.0,train,4,M
528.360128403,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
720.510959625,3,1000,4,1,2,1,0,4,5,3,0,250.0,train,3,M
640.498876572,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
608.495950699,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
800.421953201,3,1000,4,1,2,1,0,4,5,3,0,250.0,train,3,M
816.284179688,4,1000,2,1,2,1,0,4,5,3,0,250.0,train,4,M
624.77684021,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
448.451042175,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
480.355978012,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
640.517950058,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
656.345129013,4,1000,2,1,2,1,0,4,5,3,0,250.0,train,4,M
544.466018677,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
544.310092926,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
544.74902153,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
672.530889511,4,1000,2,1,2,1,0,4,5,3,0,250.0,train,4,M
879.991054535,3,1000,4,0,2,1,0,4,5,3,0,250.0,train,2,M
640.311002731,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
624.004125595,3,1000,4,1,2,1,0,4,5,3,0,250.0,train,3,M
608.694791794,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
831.904888153,4,1000,2,1,2,1,0,4,5,3,0,250.0,train,4,M
511.792898178,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
688.670873642,3,1000,4,1,2,1,0,4,5,3,0,250.0,train,3,M
591.588020325,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
688.951969147,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
560.463905334,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
608.413934708,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
560.465097427,5,1000,5,1,2,1,0,4,5,3,0,250.0,train,5,M
480.573177338,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
480.487823486,0,1000,3,1,2,1,0,4,5,3,0,250.0,train,0,M
352.442979813,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
560.594081879,3,1000,4,1,2,1,0,4,5,3,0,250.0,train,3,M
816.514968872,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
752.404928207,3,1000,4,1,2,1,0,4,5,3,0,250.0,train,3,M
560.471057892,1,1000,0,1,2,1,0,4,5,3,0,250.0,train,1,M
624.545097351,2,1000,1,1,2,1,0,4,5,3,0,250.0,train,2,M
