RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
53229.321003,4,1000,3,0,5,1,4,3,0,2,0,250.0,train,0,M
24521.9509602,0,1000,5,0,5,1,4,3,0,2,0,250.0,train,2,M
59676.8329144,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
5322.66497612,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
1019.06609535,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
1082.48114586,3,1000,2,0,5,1,4,3,0,2,0,250.0,train,4,M
794.464111328,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
570.381879807,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
650.442838669,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
522.411108017,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
490.45085907,2,1000,4,0,5,1,4,3,0,2,0,250.0,train,1,M
522.36199379,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
730.431079865,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
554.393053055,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
650.352954865,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
539.983987808,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
410.537004471,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
410.345077515,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
826.470851898,5,1000,1,0,5,1,4,3,0,2,0,250.0,train,3,M
523.855924606,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
490.514039993,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
699.851989746,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
650.499820709,5,1000,1,0,5,1,4,3,0,2,0,250.0,train,3,M
506.543874741,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
522.505998611,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
1290.54284096,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
554.50797081,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
442.501068115,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
778.645038605,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
618.561029434,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
634.408950806,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
762.032032013,3,1000,2,0,5,1,4,3,0,2,0,250.0,train,4,M
682.548999786,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
602.486848831,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
458.432912827,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
474.405050278,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
603.809833527,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
506.399869919,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
554.379940033,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
570.423126221,2,1000,4,0,5,1,4,3,0,2,0,250.0,train,1,M
458.44912529,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
458.50110054,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
794.457912445,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
522.490024567,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
618.376016617,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
523.86713028,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
635.828018188,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
507.878065109,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
458.476066589,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
458.608150482,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
650.578022003,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
666.605949402,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
569.283008575,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
650.493860245,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
650.621891022,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
778.606176376,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
602.639913559,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
698.605775833,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
714.591026306,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
570.633888245,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
538.721084595,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
491.980075836,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
507.942199707,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
698.503017426,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
570.474863052,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
826.390028,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
474.487066269,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
554.486989975,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
474.400997162,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
651.757001877,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
506.335020065,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
410.992145538,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
522.41396904,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
538.447856903,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
505.326032639,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
634.495973587,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
634.486913681,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
635.907888412,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
507.875919342,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
539.880990982,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
524.282217026,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
890.606164932,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
378.612041473,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
569.200992584,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
506.582975388,2,1000,4,0,5,1,4,3,0,2,0,250.0,train,1,M
714.552879333,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
458.605051041,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
426.56493187,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
555.190086365,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
442.624807358,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
666.486978531,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
538.515090942,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
571.084022522,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
570.537090302,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
474.371910095,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
538.494110107,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
538.424015045,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
666.484117508,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
428.030014038,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
538.42997551,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
490.42391777,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
587.08691597,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
442.510843277,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
522.444963455,5,1000,1,1,5,1,4,3,0,2,0,250.0,train,5,M
682.488203049,2,1000,4,1,5,1,4,3,0,2,0,250.0,train,2,M
651.981115341,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
538.532018661,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
538.56086731,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
795.936107635,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
458.871841431,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
474.570989609,3,1000,2,1,5,1,4,3,0,2,0,250.0,train,3,M
523.866891861,0,1000,5,1,5,1,4,3,0,2,0,250.0,train,0,M
922.608852386,4,1000,3,1,5,1,4,3,0,2,0,250.0,train,4,M
506.56414032,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
458.997011185,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
634.603023529,4,1000,3,0,5,1,4,3,0,2,0,250.0,train,3,M
426.4960289,1,1000,0,1,5,1,4,3,0,2,0,250.0,train,1,M
