RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
15935.3740215,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
2287.68396378,5,1000,5,1,1,2,0,3,5,4,0,250.0,train,5,M
1536.27800941,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
880.130052567,1,1000,1,1,1,2,0,3,5,4,0,250.0,train,1,M
1056.48112297,5,1000,5,0,1,2,0,3,5,4,0,250.0,train,4,M
848.395824432,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
944.389104843,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
672.315120697,0,1000,3,1,1,2,0,3,5,4,0,250.0,train,0,M
912.378072739,5,1000,5,1,1,2,0,3,5,4,0,250.0,train,5,M
528.35893631,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
464.417934418,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
784.481048584,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
576.596975327,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
608.565092087,1,1000,1,1,1,2,0,3,5,4,0,250.0,train,1,M
592.283010483,5,1000,5,0,1,2,0,3,5,4,0,250.0,train,4,M
576.402902603,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
512.293815613,3,1000,2,0,1,2,0,3,5,4,0,250.0,train,2,M
704.280853271,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
544.571876526,1,1000,1,0,1,2,0,3,5,4,0,250.0,train,0,M
896.400928497,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
560.424089432,1,1000,1,1,1,2,0,3,5,4,0,250.0,train,1,M
480.501890182,0,1000,3,1,1,2,0,3,5,4,0,250.0,train,0,M
944.658994675,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
449.04088974,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
560.950994492,1,1000,1,1,1,2,0,3,5,4,0,250.0,train,1,M
928.621053696,3,1000,2,1,1,2,0,3,5,4,0,250.0,train,3,M
848.509073257,3,1000,2,1,1,2,0,3,5,4,0,250.0,train,3,M
576.494932175,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
752.64787674,5,1000,5,1,1,2,0,3,5,4,0,250.0,train,5,M
752.442121506,3,1000,2,0,1,2,0,3,5,4,0,250.0,train,4,M
544.422864914,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
560.619115829,5,1000,5,1,1,2,0,3,5,4,0,250.0,train,5,M
672.372817993,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
496.57702446,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
496.48809433,0,1000,3,1,1,2,0,3,5,4,0,250.0,train,0,M
688.30704689,5,1000,5,1,1,2,0,3,5,4,0,250.0,train,5,M
399.634122849,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
640.425920486,1,1000,1,1,1,2,0,3,5,4,0,250.0,train,1,M
464.48302269,1,1000,1,1,1,2,0,3,5,4,0,250.0,train,1,M
480.551958084,0,1000,3,1,1,2,0,3,5,4,0,250.0,train,0,M
640.27094841,5,1000,5,1,1,2,0,3,5,4,0,250.0,train,5,M
608.54101181,1,1000,1,1,1,2,0,3,5,4,0,250.0,train,1,M
864.486932755,3,1000,2,1,1,2,0,3,5,4,0,250.0,train,3,M
544.543981552,4,1000,4,0,1,2,0,3,5,4,0,250.0,train,5,M
800.403118134,2,1000,0,1,1,2,0,3,5,4,0,250.0,train,2,M
592.43106842,3,1000,2,1,1,2,0,3,5,4,0,250.0,train,3,M
496.529102325,3,1000,2,1,1,2,0,3,5,4,0,250.0,train,3,M
496.574163437,0,1000,3,1,1,2,0,3,5,4,0,250.0,train,0,M
720.382928848,5,1000,5,1,1,2,0,3,5,4,0,250.0,train,5,M
1024.38402176,3,1000,2,1,1,2,0,3,5,4,0,250.0,train,3,M
624.250173569,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
912.501096725,3,1000,2,1,1,2,0,3,5,4,0,250.0,train,3,M
656.492948532,5,1000,5,0,1,2,0,3,5,4,0,250.0,train,4,M
784.033060074,4,1000,4,1,1,2,0,3,5,4,0,250.0,train,4,M
543.462991714,0,1000,3,1,1,2,0,3,5,4,0,250.0,train,0,M
672.125101089,5,1000,5,1,1,2,0,3,5,4,0,250.0,train,5,M
1263.57913017,3,1000,2,1,1,2,0,3,5,4,0,250.0,train,3,M
672.934055328,3,1000,2,1,1,2,0,3,5,4,0,250.0,train,3,M
608.865022659,0,1000,3,1,1,2,0,3,5,4,0,250.0,train,0,M
496.477127075,0,1000,3,1,1,2,0,3,5,4,0,250.0,train,0,M
432.433128357,1,1000,1,1,1,2,0,3,5,4,0,250.0,train,1,M
512.472867966,1,1000,1,1,1,2,0,3,5,4,0,250.0,train,1,M
