RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
1817.882061,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
570.425987244,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
570.496797562,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
426.528930664,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
570.501804352,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
619.119167328,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
458.149909973,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
346.493959427,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
362.582921982,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
490.469932556,3,1000,1,0,3,4,1,2,5,0,0,250.0,train,4,M
474.61605072,3,1000,1,1,3,4,1,2,5,0,0,250.0,train,3,M
458.468198776,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
458.629846573,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
490.520000458,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
586.290836334,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
475.896835327,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
458.584070206,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
442.456960678,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
522.596120834,3,1000,1,1,3,4,1,2,5,0,0,250.0,train,3,M
524.039983749,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
475.865840912,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
411.931991577,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
426.432132721,4,1000,0,0,3,4,1,2,5,0,0,250.0,train,5,M
426.437854767,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
602.401971817,4,1000,0,1,3,4,1,2,5,0,0,250.0,train,4,M
458.526134491,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
443.866014481,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
442.414045334,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
586.871147156,4,1000,0,1,3,4,1,2,5,0,0,250.0,train,4,M
459.925174713,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
442.481040955,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
410.539150238,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
539.834976196,3,1000,1,1,3,4,1,2,5,0,0,250.0,train,3,M
538.623094559,5,1000,5,0,3,4,1,2,5,0,0,250.0,train,4,M
459.872961044,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
523.076057434,3,1000,1,1,3,4,1,2,5,0,0,250.0,train,3,M
410.562038422,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
362.622022629,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
426.633834839,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
538.635015488,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
378.615140915,4,1000,0,1,3,4,1,2,5,0,0,250.0,train,4,M
473.910093307,4,1000,0,1,3,4,1,2,5,0,0,250.0,train,4,M
522.674798965,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
410.526037216,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
347.100019455,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
506.464004517,5,1000,5,0,3,4,1,2,5,0,0,250.0,train,4,M
346.504926682,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
347.961902618,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
362.56980896,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
314.563035965,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
410.401105881,3,1000,1,1,3,4,1,2,5,0,0,250.0,train,3,M
364.009857178,3,1000,1,1,3,4,1,2,5,0,0,250.0,train,3,M
378.484964371,4,1000,0,1,3,4,1,2,5,0,0,250.0,train,4,M
394.403934479,3,1000,1,1,3,4,1,2,5,0,0,250.0,train,3,M
442.368984222,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
410.453796387,4,1000,0,0,3,4,1,2,5,0,0,250.0,train,5,M
458.478927612,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
298.403978348,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
458.499908447,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
426.522016525,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
377.315044403,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
474.605083466,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
427.821874619,3,1000,1,1,3,4,1,2,5,0,0,250.0,train,3,M
443.902015686,4,1000,0,0,3,4,1,2,5,0,0,250.0,train,3,M
346.529960632,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
443.083047867,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
474.632024765,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
427.047967911,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
490.573883057,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
539.124011993,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
426.645040512,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
458.539962769,5,1000,5,1,3,4,1,2,5,0,0,250.0,train,5,M
346.576929092,4,1000,0,1,3,4,1,2,5,0,0,250.0,train,4,M
378.634929657,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
411.900997162,0,1000,4,1,3,4,1,2,5,0,0,250.0,train,0,M
362.622976303,4,1000,0,0,3,4,1,2,5,0,0,250.0,train,5,M
378.418922424,1,1000,3,1,3,4,1,2,5,0,0,250.0,train,1,M
458.453178406,3,1000,1,1,3,4,1,2,5,0,0,250.0,train,3,M
443.955898285,2,1000,2,1,3,4,1,2,5,0,0,250.0,train,2,M
