RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
2073.83489609,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
666.212081909,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
746.268987656,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
746.276855469,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
778.349876404,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
731.384992599,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
650.304079056,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
810.310840607,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
634.402990341,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
698.354005814,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
602.371931076,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
874.439001083,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
603.2371521,2,1000,0,0,4,2,3,5,0,1,0,250.0,train,3,M
539.908885956,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
795.242786407,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
571.866989136,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
698.470830917,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
634.485960007,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
698.329925537,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
762.466907501,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
603.534936905,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
553.639888763,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
506.503820419,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
474.493026733,4,1000,1,0,4,2,3,5,0,1,0,250.0,train,5,M
442.537069321,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
634.517908096,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
506.42490387,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
490.384101868,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
651.034116745,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
810.410022736,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
667.385101318,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
730.458021164,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
554.307222366,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
890.468120575,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
666.381120682,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
602.338075638,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
635.299921036,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
698.482990265,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
1162.47296333,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
842.360019684,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
1082.47995377,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
858.511924744,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
666.481018066,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
778.466939926,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
554.370880127,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
826.542854309,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
650.479793549,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
618.499040604,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
619.09198761,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
522.463083267,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
602.226018906,4,1000,1,0,4,2,3,5,0,1,0,250.0,train,3,M
666.882038116,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
810.523986816,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
570.481061935,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
587.369918823,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
650.432109833,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
730.397939682,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
634.420156479,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
778.439998627,4,1000,1,0,4,2,3,5,0,1,0,250.0,train,3,M
3099.91288185,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
826.47895813,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
602.541923523,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
523.231983185,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
618.501901627,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
699.296951294,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
602.495908737,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
571.865081787,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
715.369939804,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
490.536212921,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
506.565093994,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
650.420188904,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
666.383981705,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
698.49896431,2,1000,0,1,4,2,3,5,0,1,0,250.0,train,2,M
666.474103928,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
619.385004044,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
1130.48315048,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
602.458000183,1,1000,4,1,4,2,3,5,0,1,0,250.0,train,1,M
586.333990097,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
506.422996521,3,1000,3,1,4,2,3,5,0,1,0,250.0,train,3,M
443.212032318,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
378.378868103,5,1000,2,1,4,2,3,5,0,1,0,250.0,train,5,M
554.352045059,0,1000,5,1,4,2,3,5,0,1,0,250.0,train,0,M
538.36607933,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
474.43318367,4,1000,1,1,4,2,3,5,0,1,0,250.0,train,4,M
