RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
1001.81102753,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
714.246988297,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
618.38388443,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
570.380210876,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
587.912797928,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
667.04583168,4,1000,3,0,2,5,4,0,3,1,0,250.0,train,5,M
554.491996765,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
618.399858475,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
571.159124374,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
490.406036377,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
650.434970856,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
458.436012268,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
874.495983124,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
506.464004517,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
506.384134293,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
458.412885666,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
538.300991058,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
794.404983521,3,1000,5,0,2,5,4,0,3,1,0,250.0,train,2,M
587.960004807,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
522.426128387,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
730.281829834,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
586.390018463,3,1000,5,0,2,5,4,0,3,1,0,250.0,train,4,M
603.228092194,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
395.681858063,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
714.262008667,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
682.485103607,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
410.358905792,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
522.418022156,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
554.334163666,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
1148.05793762,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
523.947000504,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
554.446935654,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
458.547115326,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
442.50702858,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
522.485017776,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
491.864919662,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
666.582107544,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
442.492008209,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
666.457891464,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
682.512998581,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
554.368019104,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
522.51791954,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
506.515979767,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
538.571119308,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
410.443067551,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
539.33596611,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
442.50702858,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
442.054986954,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
426.341056824,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
586.436986923,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
474.521875381,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
650.427103043,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
585.098028183,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
618.38388443,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
458.446979523,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
506.330013275,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
954.36000824,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
426.419019699,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
394.461870193,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
762.485027313,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
602.436065674,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
539.732217789,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
362.469911575,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
314.467906952,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
843.871116638,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
538.540840149,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
554.5129776,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
346.530199051,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
459.218978882,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
474.480867386,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
523.293972015,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
570.517063141,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
522.453069687,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
459.836959839,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
490.525007248,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
442.553043365,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
346.544027328,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
538.413047791,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
474.287033081,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
314.390897751,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
506.402015686,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
491.17898941,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
490.370035172,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
330.53612709,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
522.397994995,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
442.466020584,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
410.463809967,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
474.43819046,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
538.345813751,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
538.440942764,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
394.16885376,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
442.50202179,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
538.419008255,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
730.505943298,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
586.328983307,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
490.478992462,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
523.895025253,4,1000,3,0,2,5,4,0,3,1,0,250.0,train,3,M
427.915096283,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
506.516218185,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
475.894927979,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
442.528963089,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
426.495075226,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
570.40309906,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
410.483121872,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
554.51798439,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
426.475048065,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
362.483978271,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
618.546962738,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
474.518060684,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
714.546918869,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
522.593021393,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
490.590810776,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
554.608106613,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
458.48107338,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
474.583864212,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
491.965055466,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
570.559024811,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
554.447889328,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
458.39381218,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
554.481983185,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
426.250934601,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
346.493005753,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
523.167133331,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
506.319999695,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
554.422855377,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
473.239183426,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
443.223953247,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
538.191080093,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
475.224971771,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
474.483013153,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
475.158929825,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
458.364963531,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
411.179065704,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
474.509954453,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
443.839073181,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
587.893009186,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
570.542097092,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
443.974018097,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
410.535812378,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
314.263105392,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
314.529895782,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
442.453861237,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
410.481214523,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
618.47615242,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
474.514007568,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
666.363954544,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
618.553876877,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
410.493850708,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
442.52705574,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
443.402051926,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
554.527997971,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
394.837141037,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
426.424026489,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
522.464990616,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
490.387916565,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
458.374023438,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
506.388187408,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
571.025133133,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
506.350040436,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
378.367185593,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
394.356012344,1,1000,4,0,2,5,4,0,3,1,0,250.0,train,4,M
586.318016052,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
427.201986313,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
394.356966019,3,1000,5,0,2,5,4,0,3,1,0,250.0,train,5,M
506.413936615,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
683.307886124,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
474.295854568,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
634.371042252,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
570.486068726,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
587.899923325,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
571.839094162,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
506.428956985,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
986.4590168,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
506.505966187,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
522.50790596,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
570.516109467,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
554.485082626,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
554.548025131,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
538.579940796,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
570.564031601,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
762.506961823,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
490.597009659,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
410.560846329,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
618.560791016,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
426.415920258,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
554.260015488,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
586.379051208,2,1000,1,0,2,5,4,0,3,1,0,250.0,train,3,M
554.527997971,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
602.520942688,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
506.431818008,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
426.483869553,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
842.090129852,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
491.189002991,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
890.342950821,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
602.344036102,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
554.464101791,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
618.507146835,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
715.291023254,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
522.382974625,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
827.876091003,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
489.151000977,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
506.371021271,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
442.427158356,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
490.462064743,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
570.438146591,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
697.104930878,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
602.576971054,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
506.597995758,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
602.473974228,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
618.350028992,3,1000,5,0,2,5,4,0,3,1,0,250.0,train,2,M
617.694854736,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
459.177017212,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
505.191087723,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
491.330862045,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
571.427106857,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
507.213830948,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
442.447900772,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
506.411075592,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
602.379083633,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
507.239103317,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
442.451000214,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
458.480119705,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
586.477994919,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
427.160978317,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
811.637878418,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
666.588068008,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
522.567033768,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
442.322015762,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
538.485050201,3,1000,5,0,2,5,4,0,3,1,0,250.0,train,4,M
506.511926651,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
427.27804184,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
394.47593689,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
443.406105042,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
650.611877441,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
538.541078568,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
474.508047104,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
651.15904808,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
394.541025162,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
410.593986511,5,1000,0,1,2,5,4,0,3,1,0,250.0,train,5,M
586.61699295,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
554.401874542,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
394.373893738,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
410.391807556,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
428.0128479,0,1000,2,1,2,5,4,0,3,1,0,250.0,train,0,M
410.47501564,1,1000,4,1,2,5,4,0,3,1,0,250.0,train,1,M
490.350008011,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
442.378044128,3,1000,5,0,2,5,4,0,3,1,0,250.0,train,2,M
570.394039154,2,1000,1,1,2,5,4,0,3,1,0,250.0,train,2,M
458.338975906,4,1000,3,1,2,5,4,0,3,1,0,250.0,train,4,M
458.446979523,3,1000,5,1,2,5,4,0,3,1,0,250.0,train,3,M
3306.13398552,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
1915.78888893,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
1178.30610275,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
1194.81801987,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
1163.66505623,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
1531.79001808,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
938.970088959,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
683.673143387,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
938.408136368,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
587.715864182,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
858.330011368,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
1322.38197327,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
1098.35290909,4,1000,3,1,2,5,4,0,3,1,0,250.0,test,4,M
666.398048401,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
1162.28485107,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
698.286056519,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
682.246923447,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
666.265010834,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
1162.40382195,4,1000,3,0,2,5,4,0,3,1,0,250.0,test,5,M
778.32198143,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
682.272911072,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
698.281049728,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
618.335008621,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
634.284973145,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
730.262994766,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
650.194883347,4,1000,3,1,2,5,4,0,3,1,0,250.0,test,4,M
619.127035141,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
539.049863815,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
443.144083023,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
2058.40301514,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
490.247964859,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
571.877002716,3,1000,5,0,2,5,4,0,3,1,0,250.0,test,4,M
570.291042328,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
522.047996521,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
682.348966599,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
602.317094803,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
571.776151657,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
570.384025574,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
555.85694313,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
458.308935165,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
938.324213028,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
602.319002151,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
538.249969482,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
634.296894073,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
587.206840515,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
730.215072632,4,1000,3,0,2,5,4,0,3,1,0,250.0,test,3,M
474.272966385,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
555.150032043,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
506.296873093,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
538.600921631,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
618.360996246,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
362.243175507,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
522.178888321,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
474.206209183,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
522.303819656,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
506.261825562,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
698.307991028,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
490.154981613,4,1000,3,1,2,5,4,0,3,1,0,250.0,test,4,M
376.966953278,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
538.204193115,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
506.239891052,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
458.256006241,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
490.362882614,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
618.231058121,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
538.044929504,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
538.256883621,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
586.421966553,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
618.248939514,4,1000,3,1,2,5,4,0,3,1,0,250.0,test,4,M
522.317886353,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
523.712873459,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
635.886907578,4,1000,3,1,2,5,4,0,3,1,0,250.0,test,4,M
490.320920944,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
619.809150696,4,1000,3,1,2,5,4,0,3,1,0,250.0,test,4,M
379.677057266,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
554.358005524,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
523.720026016,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
650.330066681,4,1000,3,1,2,5,4,0,3,1,0,250.0,test,4,M
602.216959,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
522.389888763,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
570.394992828,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
618.355035782,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
634.346961975,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
698.302030563,4,1000,3,0,2,5,4,0,3,1,0,250.0,test,3,M
475.11100769,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
506.283044815,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
571.193933487,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
554.342985153,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
490.635871887,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
554.274082184,1,1000,4,0,2,5,4,0,3,1,0,250.0,test,2,M
538.333177567,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
1274.34206009,4,1000,3,1,2,5,4,0,3,1,0,250.0,test,4,M
602.226018906,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
522.28808403,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
490.28801918,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
507.525920868,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
681.90407753,3,1000,5,1,2,5,4,0,3,1,0,250.0,test,3,M
522.319078445,2,1000,1,1,2,5,4,0,3,1,0,250.0,test,2,M
682.368993759,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
490.307807922,0,1000,2,1,2,5,4,0,3,1,0,250.0,test,0,M
490.254878998,5,1000,0,1,2,5,4,0,3,1,0,250.0,test,5,M
586.17401123,4,1000,3,1,2,5,4,0,3,1,0,250.0,test,4,M
587.840795517,1,1000,4,1,2,5,4,0,3,1,0,250.0,test,1,M
