RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
2448.58813286,2,1000,1,1,2,3,0,1,4,5,0,250.0,train,2,M
576.297998428,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
624.299049377,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
592.948198318,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
528.332948685,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
464.417934418,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
384.232997894,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
400.313854218,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
513.048171997,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
464.39409256,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
448.322057724,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
432.281970978,2,1000,1,1,2,3,0,1,4,5,0,250.0,train,2,M
400.459051132,5,1000,4,0,2,3,0,1,4,5,0,250.0,train,4,M
320.418119431,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
496.432065964,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
432.461977005,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
528.455018997,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
464.380979538,3,1000,0,0,2,3,0,1,4,5,0,250.0,train,2,M
480.478048325,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
385.067939758,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
400.42591095,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
432.465076447,1,1000,2,0,2,3,0,1,4,5,0,250.0,train,0,M
464.848041534,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
496.461868286,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
464.48802948,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
496.530056,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
736.500024796,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
416.444063187,3,1000,0,0,2,3,0,1,4,5,0,250.0,train,2,M
384.881019592,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
480.41510582,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
448.335170746,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
400.817871094,2,1000,1,0,2,3,0,1,4,5,0,250.0,train,1,M
624.442100525,4,1000,5,0,2,3,0,1,4,5,0,250.0,train,5,M
464.389801025,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
448.379993439,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
400.395870209,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
528.409004211,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
480.355978012,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
352.895021439,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
608.488798141,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
448.291063309,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
416.463136673,5,1000,4,0,2,3,0,1,4,5,0,250.0,train,4,M
784.53207016,3,1000,0,0,2,3,0,1,4,5,0,250.0,train,2,M
640.410900116,2,1000,1,1,2,3,0,1,4,5,0,250.0,train,2,M
496.4158535,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
480.444908142,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
592.573881149,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
640.828132629,4,1000,5,0,2,3,0,1,4,5,0,250.0,train,5,M
512.460947037,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
816.518068314,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
608.466148376,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
592.457056046,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
656.500101089,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
640.913963318,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
560.572147369,2,1000,1,1,2,3,0,1,4,5,0,250.0,train,2,M
513.007879257,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
432.56187439,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
352.864980698,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
1120.68891525,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
544.489145279,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
577.142000198,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
816.884994507,2,1000,1,0,2,3,0,1,4,5,0,250.0,train,1,M
384.428977966,2,1000,1,1,2,3,0,1,4,5,0,250.0,train,2,M
592.412948608,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
448.358058929,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
688.300132751,2,1000,1,1,2,3,0,1,4,5,0,250.0,train,2,M
352.535009384,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
384.335041046,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
496.487140656,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
480.465173721,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
528.382062912,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
544.559001923,2,1000,1,1,2,3,0,1,4,5,0,250.0,train,2,M
688.406944275,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
576.962947845,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
560.430049896,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
496.379852295,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
432.368040085,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
464.468002319,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
640.562057495,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
496.537923813,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
368.058919907,4,1000,5,0,2,3,0,1,4,5,0,250.0,train,3,M
592.424869537,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
368.554830551,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
480.529069901,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
464.466094971,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
464.455127716,2,1000,1,0,2,3,0,1,4,5,0,250.0,train,1,M
560.512065887,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
688.476085663,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
432.407855988,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
608.589172363,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
448.522806168,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
336.418151855,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
432.429075241,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
528.534173965,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
336.908817291,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
448.482990265,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
496.40417099,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
496.58703804,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
400.26307106,2,1000,1,1,2,3,0,1,4,5,0,250.0,train,2,M
400.590896606,5,1000,4,0,2,3,0,1,4,5,0,250.0,train,3,M
448.89497757,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
448.421955109,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
448.419094086,0,1000,3,1,2,3,0,1,4,5,0,250.0,train,0,M
656.440973282,4,1000,5,1,2,3,0,1,4,5,0,250.0,train,4,M
432.369947433,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
640.350103378,3,1000,0,1,2,3,0,1,4,5,0,250.0,train,3,M
528.280973434,2,1000,1,0,2,3,0,1,4,5,0,250.0,train,1,M
592.45300293,5,1000,4,1,2,3,0,1,4,5,0,250.0,train,5,M
528.409004211,1,1000,2,1,2,3,0,1,4,5,0,250.0,train,1,M
