RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
10671.061039,3,1000,1,0,3,0,1,5,4,2,0,250.0,train,2,M
1456.09402657,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
1264.16611671,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
606.329917908,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
654.797792435,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
576.424121857,3,1000,1,0,3,0,1,5,4,2,0,250.0,train,4,M
928.374052048,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
720.39103508,3,1000,1,0,3,0,1,5,4,2,0,250.0,train,2,M
1040.3778553,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
384.713172913,4,1000,5,1,3,0,1,5,4,2,0,250.0,train,4,M
367.45095253,4,1000,5,0,3,0,1,5,4,2,0,250.0,train,3,M
574.839115143,3,1000,1,0,3,0,1,5,4,2,0,250.0,train,2,M
672.582149506,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
687.224149704,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
480.334043503,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
688.616991043,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
896.752119064,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
2047.41692543,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
720.355033875,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
831.517934799,4,1000,5,0,3,0,1,5,4,2,0,250.0,train,5,M
480.262041092,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
704.329013824,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
112.398862839,5,1000,2,0,3,0,1,5,4,2,0,250.0,train,0,M
448.287963867,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
592.289924622,4,1000,5,1,3,0,1,5,4,2,0,250.0,train,4,M
480.283975601,4,1000,5,1,3,0,1,5,4,2,0,250.0,train,4,M
432.290077209,3,1000,1,0,3,0,1,5,4,2,0,250.0,train,4,M
128.428936005,0,1000,0,0,3,0,1,5,4,2,0,250.0,train,3,M
880.749940872,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
736.126899719,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
559.51499939,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
352.169036865,3,1000,1,0,3,0,1,5,4,2,0,250.0,train,1,M
479.501962662,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
624.693870544,4,1000,5,1,3,0,1,5,4,2,0,250.0,train,4,M
672.804117203,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
528.789997101,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
656.255960464,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
1407.62996674,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
672.44386673,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
464.319944382,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
544.312953949,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
576.503992081,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
624.5470047,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
448.54593277,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
448.457956314,4,1000,5,1,3,0,1,5,4,2,0,250.0,train,4,M
512.7389431,1,1000,3,0,3,0,1,5,4,2,0,250.0,train,0,M
1296.63085938,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
607.485055923,2,1000,4,0,3,0,1,5,4,2,0,250.0,train,3,M
559.364080429,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
672.065019608,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
512.424945831,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
400.521993637,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
448.372125626,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
608.742952347,2,1000,4,0,3,0,1,5,4,2,0,250.0,train,3,M
464.74981308,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
1024.70183372,4,1000,5,1,3,0,1,5,4,2,0,250.0,train,4,M
671.696901321,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
592.770814896,2,1000,4,0,3,0,1,5,4,2,0,250.0,train,3,M
431.236982346,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
144.91891861,1,1000,3,0,3,0,1,5,4,2,0,250.0,train,3,M
735.98408699,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
575.598955154,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
527.358055115,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
623.50320816,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
703.541040421,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
559.57198143,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
672.671079636,4,1000,5,1,3,0,1,5,4,2,0,250.0,train,4,M
383.496999741,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
384.694814682,1,1000,3,0,3,0,1,5,4,2,0,250.0,train,0,M
623.878955841,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
255.551099777,2,1000,4,0,3,0,1,5,4,2,0,250.0,train,4,M
719.609022141,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
511.940002441,4,1000,5,1,3,0,1,5,4,2,0,250.0,train,4,M
688.740968704,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
431.430101395,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
640.275001526,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
624.562978745,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
559.430122375,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
464.610815048,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
447.562217712,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
672.700881958,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
559.596776962,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
464.22791481,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
496.273994446,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
656.810045242,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
480.401992798,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
592.420816422,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
608.4420681,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
560.847043991,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
864.815950394,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
912.250041962,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
560.426950455,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
464.359045029,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
480.400800705,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
512.437105179,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
496.408939362,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
672.498941422,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
592.303037643,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
480.488061905,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
592.386960983,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
496.505975723,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
512.317895889,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
832.39197731,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
464.36715126,3,1000,1,0,3,0,1,5,4,2,0,250.0,train,2,M
544.919013977,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
768.37182045,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
720.33405304,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
480.94701767,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
608.525037766,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
464.919090271,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
576.593875885,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
560.348033905,3,1000,1,1,3,0,1,5,4,2,0,250.0,train,3,M
496.339082718,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
592.679023743,4,1000,5,0,3,0,1,5,4,2,0,250.0,train,3,M
624.825954437,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
592.417001724,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
624.487876892,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
560.427904129,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
512.387037277,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
511.944055557,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
496.792793274,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
463.929891586,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
448.73213768,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
432.055950165,2,1000,4,0,3,0,1,5,4,2,0,250.0,train,1,M
527.544021606,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
575.922966003,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
336.715936661,2,1000,4,1,3,0,1,5,4,2,0,250.0,train,2,M
415.65489769,4,1000,5,0,3,0,1,5,4,2,0,250.0,train,2,M
544.322013855,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
480.239868164,0,1000,0,0,3,0,1,5,4,2,0,250.0,train,1,M
400.273084641,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
224.895000458,3,1000,1,0,3,0,1,5,4,2,0,250.0,train,0,M
368.728876114,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
384.688854218,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
272.006988525,3,1000,1,0,3,0,1,5,4,2,0,250.0,train,0,M
448.000907898,0,1000,0,1,3,0,1,5,4,2,0,250.0,train,0,M
576.807975769,5,1000,2,1,3,0,1,5,4,2,0,250.0,train,5,M
624.82380867,1,1000,3,1,3,0,1,5,4,2,0,250.0,train,1,M
