RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
5263.7219429,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1232.06305504,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
896.155834198,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1936.08999252,3,1000,1,0,3,0,1,4,2,5,0,250.0,train,4,M
976.390838623,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
1504.15205956,2,1000,5,0,3,0,1,4,2,5,0,250.0,train,3,M
1728.18088531,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
832.232952118,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
832.147836685,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
832.277059555,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
1040.28582573,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
672.368049622,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1040.26317596,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
784.18302536,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1008.14795494,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
1040.30299187,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
752.33912468,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
816.334009171,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
928.375005722,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
1024.37496185,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
752.269983292,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
736.307859421,3,1000,1,0,3,0,1,4,2,5,0,250.0,train,2,M
1056.34689331,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
912.358045578,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
752.289772034,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
1024.34802055,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
800.356864929,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
672.32298851,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
752.315998077,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1104.45404053,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
880.47003746,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
832.376003265,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
688.343048096,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
768.354177475,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
768.339157104,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
1008.34202766,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
704.301118851,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
1248.32391739,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
672.287940979,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
719.372034073,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1055.21893501,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
720.217943192,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
688.274145126,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
592.230081558,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
688.179969788,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
784.719944,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
736.206054688,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
864.06493187,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
624.197006226,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
927.756786346,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
608.391046524,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
736.464977264,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
784.192085266,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
640.267133713,3,1000,1,0,3,0,1,4,2,5,0,250.0,train,2,M
672.340869904,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
768.269062042,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
864.325046539,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
976.394176483,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
832.314014435,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
816.283941269,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
847.962856293,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
656.270027161,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
784.356117249,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
736.354112625,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
816.136837006,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
752.476930618,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
704.316139221,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
688.274860382,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
688.545942307,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
800.472974777,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
640.327215195,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
816.383123398,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
640.345096588,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
607.916116714,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
816.412210464,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
848.500013351,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
832.394123077,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
624.309062958,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
720.180034637,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
704.274892807,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
720.139980316,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
784.389019012,2,1000,5,0,3,0,1,4,2,5,0,250.0,train,3,M
992.247104645,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
608.351945877,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
896.279096603,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
688.266992569,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
960.388183594,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
800.285816193,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
783.96987915,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
992.475032806,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
864.416122437,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
944.319009781,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
880.432128906,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
672.348976135,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
768.390893936,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
864.420890808,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
832.267999649,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
768.312931061,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
704.406023026,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
560.403108597,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
848.375082016,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
784.368038177,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
720.42798996,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
896.358013153,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
688.319921494,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
608.234882355,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
768.380880356,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
752.34913826,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
752.308130264,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
672.297954559,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
672.405004501,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
944.351911545,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
800.383090973,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
992.365837097,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1024.42407608,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
672.413110733,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
688.07721138,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
688.373088837,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
656.304121017,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
736.209869385,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
656.126022339,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
928.275108337,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
656.276941299,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
784.29889679,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
560.32204628,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
576.173067093,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
624.224901199,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
880.330085754,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
1088.31810951,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
736.411094666,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
704.383850098,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
640.05613327,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
592.407941818,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
576.38001442,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
560.338973999,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
768.260002136,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
464.285135269,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
720.330953598,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
544.289112091,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
784.430980682,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
688.35401535,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
736.479043961,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
464.276790619,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
704.384803772,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
624.017953873,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
640.033006668,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
832.679986954,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
688.24005127,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
463.624954224,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1664.03388977,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
639.339923859,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
671.458005905,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
704.380989075,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
831.920146942,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
608.501911163,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
623.930931091,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
608.299016953,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
720.148086548,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
784.440040588,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
1136.42907143,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
688.389062881,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
480.287075043,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
640.457868576,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
560.296058655,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
736.357927322,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
592.417955399,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
640.323877335,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
640.44713974,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
592.357873917,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
688.370943069,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
608.43706131,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
704.359054565,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
672.435045242,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
687.787055969,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
1280.45988083,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
752.429962158,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1872.51281738,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
560.418128967,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
752.335071564,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
1696.41590118,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
768.519878387,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
655.831813812,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
720.453977585,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
1216.4041996,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
672.431945801,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
624.434947968,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
656.403064728,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
768.497943878,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
1392.52901077,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
688.550949097,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
688.26007843,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
672.486782074,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
672.544956207,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
640.535116196,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
688.472032547,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
672.428131104,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
656.458854675,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
576.558113098,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
512.506008148,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
656.423807144,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
560.497999191,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
816.519975662,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
560.446023941,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
576.439857483,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
608.353853226,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
528.144836426,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
448.358058929,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
688.457012177,2,1000,5,0,3,0,1,4,2,5,0,250.0,train,3,M
704.334974289,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
720.33405304,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
656.453132629,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
656.476974487,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
592.356920242,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
816.406011581,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
704.231977463,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
544.090986252,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
799.66711998,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
720.393896103,3,1000,1,1,3,0,1,4,2,5,0,250.0,train,3,M
736.525058746,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
672.508955002,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
704.382896423,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
640.430927277,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
720.375776291,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
608.281850815,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
608.367919922,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
528.175115585,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
656.483888626,2,1000,5,1,3,0,1,4,2,5,0,250.0,train,2,M
624.500989914,1,1000,3,1,3,0,1,4,2,5,0,250.0,train,1,M
560.37402153,0,1000,0,1,3,0,1,4,2,5,0,250.0,train,0,M
640.377998352,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
688.354969025,5,1000,4,1,3,0,1,4,2,5,0,250.0,train,5,M
464.425086975,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
512.387990952,4,1000,2,1,3,0,1,4,2,5,0,250.0,train,4,M
