RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
40558.4139824,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
784.294843674,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
1168.24293137,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
1120.35298347,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
1360.16583443,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
1263.3960247,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
927.81996727,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
832.217931747,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
720.470905304,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
768.389940262,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
832.596063614,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
752.477884293,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
736.320018768,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
752.173900604,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
640.58804512,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
688.435077667,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
640.466928482,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
512.535095215,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
864.39704895,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
624.52507019,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
816.504001617,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
528.475046158,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
768.424034119,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
672.48916626,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
496.454000473,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
608.425855637,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
608.291149139,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
496.523141861,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
512.467861176,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
848.97685051,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
608.515977859,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
976.52888298,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
592.620849609,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
704.560995102,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
592.462778091,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
544.505834579,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
528.416156769,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
496.448993683,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
720.628976822,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
800.620794296,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
592.4949646,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
832.624912262,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
752.326965332,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
576.282024384,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
544.600009918,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
1024.28197861,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
816.462993622,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
512.099027634,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
688.892841339,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
591.917037964,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
608.416080475,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
607.560157776,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
560.539960861,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
592.410087585,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
560.404062271,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
592.487096786,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
656.483888626,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
624.496936798,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
576.534032822,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
688.616037369,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
576.342105865,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
592.478990555,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
528.491973877,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
704.19883728,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
544.39997673,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
528.223991394,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
784.514904022,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
1344.12693977,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
560.374975204,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
736.613988876,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
560.511827469,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
512.526035309,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
544.536113739,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
896.620035172,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
560.297966003,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
624.581813812,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
544.608831406,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
544.507980347,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
560.482978821,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
624.653100967,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
592.592000961,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
512.620925903,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
656.56709671,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
528.610944748,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
560.614109039,0,1000,1,1,0,5,3,1,4,2,0,250.0,train,0,M
832.604885101,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
688.512802124,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
480.203151703,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
768.624067307,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
832.583904266,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
560.530900955,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
512.468099594,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
544.638156891,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
592.550992966,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
672.545909882,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
608.47401619,2,1000,4,1,0,5,3,1,4,2,0,250.0,train,2,M
640.789985657,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
656.952142715,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
688.81893158,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
624.85909462,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
767.107009888,1,1000,2,1,0,5,3,1,4,2,0,250.0,train,1,M
928.807973862,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
544.86989975,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
544.816970825,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
511.652946472,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
672.841072083,4,1000,5,1,0,5,3,1,4,2,0,250.0,train,4,M
576.871871948,3,1000,3,1,0,5,3,1,4,2,0,250.0,train,3,M
672.992944717,5,1000,0,1,0,5,3,1,4,2,0,250.0,train,5,M
