RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
4575.7958889,0,1000,5,1,1,2,3,5,0,4,0,250.0,train,0,M
1248.0070591,4,1000,4,1,1,2,3,5,0,4,0,250.0,train,4,M
688.282012939,1,1000,1,1,1,2,3,5,0,4,0,250.0,train,1,M
864.328861237,5,1000,2,1,1,2,3,5,0,4,0,250.0,train,5,M
496.729850769,2,1000,0,0,1,2,3,5,0,4,0,250.0,train,1,M
672.329187393,0,1000,5,1,1,2,3,5,0,4,0,250.0,train,0,M
736.301898956,5,1000,2,1,1,2,3,5,0,4,0,250.0,train,5,M
400.798082352,3,1000,3,1,1,2,3,5,0,4,0,250.0,train,3,M
544.348955154,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
544.343948364,0,1000,5,1,1,2,3,5,0,4,0,250.0,train,0,M
512.336969376,1,1000,1,1,1,2,3,5,0,4,0,250.0,train,1,M
448.440074921,3,1000,3,1,1,2,3,5,0,4,0,250.0,train,3,M
543.972969055,1,1000,1,1,1,2,3,5,0,4,0,250.0,train,1,M
703.648805618,5,1000,2,1,1,2,3,5,0,4,0,250.0,train,5,M
576.536893845,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
400.340080261,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
560.570001602,4,1000,4,0,1,2,3,5,0,4,0,250.0,train,3,M
464.341878891,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
512.296199799,4,1000,4,1,1,2,3,5,0,4,0,250.0,train,4,M
608.530044556,1,1000,1,1,1,2,3,5,0,4,0,250.0,train,1,M
544.407129288,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
592.372894287,3,1000,3,1,1,2,3,5,0,4,0,250.0,train,3,M
496.365070343,4,1000,4,0,1,2,3,5,0,4,0,250.0,train,3,M
480.37314415,0,1000,5,1,1,2,3,5,0,4,0,250.0,train,0,M
656.899929047,4,1000,4,1,1,2,3,5,0,4,0,250.0,train,4,M
448.411941528,4,1000,4,1,1,2,3,5,0,4,0,250.0,train,4,M
512.87984848,0,1000,5,1,1,2,3,5,0,4,0,250.0,train,0,M
416.522026062,3,1000,3,0,1,2,3,5,0,4,0,250.0,train,4,M
400.331020355,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
624.4328022,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
624.461174011,4,1000,4,1,1,2,3,5,0,4,0,250.0,train,4,M
544.406175613,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
528.495073318,5,1000,2,1,1,2,3,5,0,4,0,250.0,train,5,M
464.45608139,0,1000,5,1,1,2,3,5,0,4,0,250.0,train,0,M
592.452049255,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
640.524148941,5,1000,2,1,1,2,3,5,0,4,0,250.0,train,5,M
608.101129532,3,1000,3,1,1,2,3,5,0,4,0,250.0,train,3,M
512.407064438,5,1000,2,1,1,2,3,5,0,4,0,250.0,train,5,M
656.301021576,1,1000,1,1,1,2,3,5,0,4,0,250.0,train,1,M
528.972148895,1,1000,1,1,1,2,3,5,0,4,0,250.0,train,1,M
608.407974243,5,1000,2,1,1,2,3,5,0,4,0,250.0,train,5,M
464.424133301,0,1000,5,1,1,2,3,5,0,4,0,250.0,train,0,M
512.372970581,1,1000,1,1,1,2,3,5,0,4,0,250.0,train,1,M
400.738954544,5,1000,2,1,1,2,3,5,0,4,0,250.0,train,5,M
656.807899475,1,1000,1,1,1,2,3,5,0,4,0,250.0,train,1,M
495.594978333,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
560.403823853,2,1000,0,1,1,2,3,5,0,4,0,250.0,train,2,M
704.349040985,3,1000,3,1,1,2,3,5,0,4,0,250.0,train,3,M
448.621988297,0,1000,5,1,1,2,3,5,0,4,0,250.0,train,0,M
432.950019836,1,1000,1,1,1,2,3,5,0,4,0,250.0,train,1,M
