RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
1551.71298981,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
560.150146484,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
559.996843338,2,1000,3,0,5,0,2,4,3,1,0,250.0,train,1,M
495.976924896,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
496.245145798,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
655.627012253,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
656.228065491,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
576.246976852,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
560.220003128,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
574.641942978,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
655.910968781,4,1000,2,0,5,0,2,4,3,1,0,250.0,train,1,M
512.219905853,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
575.256824493,3,1000,5,0,5,0,2,4,3,1,0,250.0,train,2,M
528.065919876,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
463.922023773,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
496.283054352,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
575.901985168,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
511.942863464,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
528.22303772,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
480.170965195,2,1000,3,0,5,0,2,4,3,1,0,250.0,train,5,M
864.172935486,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
672.255992889,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
528.138160706,3,1000,5,0,5,0,2,4,3,1,0,250.0,train,2,M
463.631153107,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
560.138940811,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
496.317148209,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
656.136989594,2,1000,3,0,5,0,2,4,3,1,0,250.0,train,3,M
576.154947281,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
544.003009796,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
560.219049454,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
671.718120575,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
784.287929535,4,1000,2,1,5,0,2,4,3,1,0,250.0,train,4,M
512.258052826,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
592.573165894,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
688.357114792,4,1000,2,1,5,0,2,4,3,1,0,250.0,train,4,M
512.413978577,4,1000,2,0,5,0,2,4,3,1,0,250.0,train,5,M
576.443910599,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
592.425107956,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
560.456037521,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
480.458021164,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
736.331939697,3,1000,5,0,5,0,2,4,3,1,0,250.0,train,4,M
512.269020081,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
816.137075424,3,1000,5,0,5,0,2,4,3,1,0,250.0,train,2,M
512.274980545,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
544.325828552,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
640.424966812,4,1000,2,1,5,0,2,4,3,1,0,250.0,train,4,M
496.470928192,4,1000,2,1,5,0,2,4,3,1,0,250.0,train,4,M
608.507871628,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
608.399152756,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
640.388965607,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
832.271814346,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
496.323108673,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
624.306917191,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
560.520172119,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
608.510017395,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
1360.43310165,4,1000,2,1,5,0,2,4,3,1,0,250.0,train,4,M
432.359933853,4,1000,2,1,5,0,2,4,3,1,0,250.0,train,4,M
608.366012573,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
656.444072723,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
816.378831863,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
720.465183258,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
480.401039124,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
528.496026993,0,1000,0,1,5,0,2,4,3,1,0,250.0,train,0,M
512.60304451,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
512.500047684,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
592.555046082,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
720.404863358,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
528.378009796,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
576.514959335,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
560.451984406,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
736.526012421,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
640.044927597,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
464.415073395,2,1000,3,1,5,0,2,4,3,1,0,250.0,train,2,M
624.263048172,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
672.513961792,1,1000,4,1,5,0,2,4,3,1,0,250.0,train,1,M
464.514017105,5,1000,1,1,5,0,2,4,3,1,0,250.0,train,5,M
544.558048248,4,1000,2,1,5,0,2,4,3,1,0,250.0,train,4,M
528.530836105,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
560.502052307,3,1000,5,1,5,0,2,4,3,1,0,250.0,train,3,M
592.277050018,4,1000,2,0,5,0,2,4,3,1,0,250.0,train,5,M
