RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
1466.49003029,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
650.321960449,3,1000,2,1,2,5,4,3,1,0,0,250.0,train,3,M
538.104057312,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
570.49202919,3,1000,2,0,2,5,4,3,1,0,0,250.0,train,4,M
523.509025574,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
538.305997849,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
474.553823471,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
490.547180176,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
730.538129807,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
666.594028473,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
602.568864822,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
602.542877197,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
458.604812622,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
506.33597374,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
554.488897324,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
522.490024567,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
458.558082581,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
586.591959,4,1000,3,0,2,5,4,3,1,0,0,250.0,train,3,M
506.443023682,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
474.510908127,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
554.404020309,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
602.380037308,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
443.030118942,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
506.395101547,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
586.453914642,3,1000,2,0,2,5,4,3,1,0,0,250.0,train,2,M
426.469087601,3,1000,2,1,2,5,4,3,1,0,0,250.0,train,3,M
428.022861481,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
506.416082382,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
490.431070328,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
651.093959808,3,1000,2,0,2,5,4,3,1,0,0,250.0,train,2,M
426.445007324,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
635.827064514,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
523.066043854,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
586.579084396,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
427.212953568,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
538.636922836,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
682.569980621,3,1000,2,0,2,5,4,3,1,0,0,250.0,train,2,M
666.438817978,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
666.546821594,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
938.542127609,3,1000,2,1,2,5,4,3,1,0,0,250.0,train,3,M
586.621999741,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
474.586009979,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
618.597984314,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
538.510799408,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
779.095172882,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
474.505186081,3,1000,2,0,2,5,4,3,1,0,0,250.0,train,4,M
617.925167084,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
874.38416481,3,1000,2,0,2,5,4,3,1,0,0,250.0,train,4,M
554.303884506,3,1000,2,1,2,5,4,3,1,0,0,250.0,train,3,M
555.845975876,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
379.82416153,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
506.443977356,3,1000,2,1,2,5,4,3,1,0,0,250.0,train,3,M
570.441007614,4,1000,3,0,2,5,4,3,1,0,0,250.0,train,5,M
970.439910889,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
586.403846741,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
443.845033646,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
682.389974594,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
363.59500885,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
459.942817688,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
796.046972275,3,1000,2,1,2,5,4,3,1,0,0,250.0,train,3,M
667.93179512,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
714.510917664,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
475.080013275,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
554.510116577,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
427.062034607,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
634.573936462,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
426.985025406,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
890.582084656,3,1000,2,0,2,5,4,3,1,0,0,250.0,train,2,M
570.426940918,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
458.550930023,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
698.605060577,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
474.418878555,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
730.520009995,3,1000,2,1,2,5,4,3,1,0,0,250.0,train,3,M
522.46594429,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
554.794073105,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
412.039995193,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
330.470085144,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
411.983013153,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
522.529125214,5,1000,0,0,2,5,4,3,1,0,0,250.0,train,4,M
522.500991821,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
539.502859116,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
714.6089077,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
474.415063858,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
554.442167282,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
474.395990372,4,1000,3,0,2,5,4,3,1,0,0,250.0,train,5,M
1034.46912766,2,1000,1,0,2,5,4,3,1,0,0,250.0,train,1,M
715.862989426,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
682.281017303,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
554.600000381,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
714.295148849,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
522.585868835,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
474.505901337,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
394.984006882,1,1000,5,1,2,5,4,3,1,0,0,250.0,train,1,M
603.932857513,2,1000,1,1,2,5,4,3,1,0,0,250.0,train,2,M
730.365991592,3,1000,2,1,2,5,4,3,1,0,0,250.0,train,3,M
522.564172745,2,1000,1,0,2,5,4,3,1,0,0,250.0,train,1,M
666.580915451,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
395.087957382,5,1000,0,1,2,5,4,3,1,0,0,250.0,train,5,M
522.624015808,4,1000,3,1,2,5,4,3,1,0,0,250.0,train,4,M
554.55994606,0,1000,4,1,2,5,4,3,1,0,0,250.0,train,0,M
