RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
672.385931015,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
544.265031815,3,1000,0,0,1,3,4,5,0,2,0,250.0,train,2,M
592.321157455,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
560.473918915,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
416.38302803,2,1000,4,0,1,3,4,5,0,2,0,250.0,train,1,M
704.412937164,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
1152.07910538,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
640.761137009,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
576.460123062,4,1000,3,0,1,3,4,5,0,2,0,250.0,train,5,M
720.284938812,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
416.420936584,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
720.411777496,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
432.438850403,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
416.477918625,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
496.872901917,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
448.554039001,3,1000,0,0,1,3,4,5,0,2,0,250.0,train,2,M
432.385921478,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
480.251073837,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
528.428792953,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
640.532970428,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
495.968818665,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
368.48783493,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
416.441202164,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
608.485937119,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
416.321992874,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
416.459083557,2,1000,4,0,1,3,4,5,0,2,0,250.0,train,1,M
384.340047836,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
496.371984482,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
688.433885574,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
400.442123413,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
383.878946304,3,1000,0,0,1,3,4,5,0,2,0,250.0,train,2,M
448.393821716,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
464.414834976,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
416.468858719,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
416.379928589,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
592.577934265,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
400.332212448,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
464.471101761,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
384.443044662,2,1000,4,0,1,3,4,5,0,2,0,250.0,train,1,M
832.412004471,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
480.365991592,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
512.826919556,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
720.308065414,4,1000,3,0,1,3,4,5,0,2,0,250.0,train,5,M
448.33779335,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
512.30597496,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
384.303092957,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
304.323911667,2,1000,4,0,1,3,4,5,0,2,0,250.0,train,1,M
448.460102081,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
400.321960449,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
416.276931763,1,1000,1,0,1,3,4,5,0,2,0,250.0,train,4,M
400.832176208,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
400.403022766,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
592.395067215,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
384.406089783,1,1000,1,0,1,3,4,5,0,2,0,250.0,train,0,M
496.529817581,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
368.802070618,2,1000,4,0,1,3,4,5,0,2,0,250.0,train,1,M
416.328907013,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
496.356964111,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
384.379863739,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
416.409015656,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
464.792013168,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
400.464057922,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
304.515123367,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
496.366024017,2,1000,4,0,1,3,4,5,0,2,0,250.0,train,1,M
384.383916855,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
304.365158081,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
576.399087906,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
400.367021561,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
399.567127228,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
399.585962296,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
319.571018219,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
464.704036713,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
351.176023483,0,1000,5,0,1,3,4,5,0,2,0,250.0,train,1,M
303.613901138,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
384.314060211,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
464.803934097,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
320.347070694,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
640.326023102,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
368.383169174,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
288.334131241,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
384.863853455,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
416.390895844,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
368.422031403,2,1000,4,0,1,3,4,5,0,2,0,250.0,train,1,M
496.364831924,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
367.208957672,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
368.20602417,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
463.60707283,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
463.549137115,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
399.653196335,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
463.902950287,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
383.478164673,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
447.339057922,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
432.018995285,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
415.519952774,3,1000,0,0,1,3,4,5,0,2,0,250.0,train,2,M
432.803153992,2,1000,4,0,1,3,4,5,0,2,0,250.0,train,1,M
400.369882584,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
399.433851242,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
368.239164352,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
399.610996246,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
415.520906448,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
448.278903961,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
464.27822113,3,1000,0,1,1,3,4,5,0,2,0,250.0,train,3,M
448.302030563,2,1000,4,0,1,3,4,5,0,2,0,250.0,train,1,M
384.315013885,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
400.279045105,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
448.307037354,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
432.917118073,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
416.36300087,3,1000,0,0,1,3,4,5,0,2,0,250.0,train,2,M
400.372028351,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
448.442935944,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
384.408950806,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
400.460958481,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
336.400032043,1,1000,1,0,1,3,4,5,0,2,0,250.0,train,2,M
416.422128677,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
368.398189545,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
560.469865799,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
432.327985764,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
432.416200638,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
400.308132172,5,1000,2,1,1,3,4,5,0,2,0,250.0,train,5,M
480.751037598,2,1000,4,1,1,3,4,5,0,2,0,250.0,train,2,M
304.479837418,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
416.398048401,3,1000,0,0,1,3,4,5,0,2,0,250.0,train,4,M
400.875091553,0,1000,5,1,1,3,4,5,0,2,0,250.0,train,0,M
288.42997551,1,1000,1,1,1,3,4,5,0,2,0,250.0,train,1,M
384.341955185,4,1000,3,1,1,3,4,5,0,2,0,250.0,train,4,M
