RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
1695.96600533,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
944.319963455,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
928.339004517,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
848.42300415,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
464.303016663,4,1000,3,0,3,1,4,0,5,2,0,250.0,train,3,M
704.874038696,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
672.397851944,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
608.36482048,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
672.92714119,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
688.395023346,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
928.546905518,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
592.400074005,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
592.382907867,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
640.345096588,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
528.784036636,3,1000,1,0,3,1,4,0,5,2,0,250.0,train,2,M
592.899084091,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
592.432975769,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
528.55014801,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
512.408018112,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
448.392868042,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
544.368028641,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
640.434980392,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
784.478902817,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
592.25487709,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
592.283010483,3,1000,1,0,3,1,4,0,5,2,0,250.0,train,2,M
608.269929886,2,1000,4,0,3,1,4,0,5,2,0,250.0,train,1,M
544.349193573,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
560.798883438,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
528.269052505,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
736.527919769,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
768.442869186,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
608.521938324,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
448.570966721,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
528.411149979,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
512.42184639,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
464.395046234,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
464.405059814,4,1000,3,0,3,1,4,0,5,2,0,250.0,train,3,M
592.315912247,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
480.41009903,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
480.438947678,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
464.450120926,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
496.406078339,4,1000,3,0,3,1,4,0,5,2,0,250.0,train,3,M
560.33706665,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
448.519945145,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
544.523000717,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
528.578996658,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
640.507221222,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
464.560985565,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
480.935096741,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
512.568950653,5,1000,5,0,3,1,4,0,5,2,0,250.0,train,3,M
528.352975845,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
576.869010925,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
528.535842896,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
480.450153351,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
576.516866684,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
768.520116806,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
544.513940811,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
448.508024216,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
720.567941666,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
544.442892075,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
464.440822601,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
480.382204056,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
528.311014175,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
464.383840561,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
480.375051498,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
688.48490715,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
704.378128052,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
544.373989105,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
496.397972107,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
495.630025864,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
543.687105179,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
463.623046875,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
367.640018463,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
416.082143784,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
399.790763855,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
528.9311409,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
480.471134186,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
656.324863434,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
512.477874756,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
560.553073883,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
464.545965195,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
544.53587532,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
528.53512764,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
688.480854034,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
479.954957962,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
432.452917099,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
432.964086533,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
496.551990509,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
560.882091522,3,1000,1,0,3,1,4,0,5,2,0,250.0,train,4,M
528.491020203,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
576.503992081,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
464.51997757,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
496.446847916,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
448.509931564,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
416.528940201,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
464.474201202,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
416.464090347,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
560.503959656,4,1000,3,0,3,1,4,0,5,2,0,250.0,train,5,M
528.474092484,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
447.901964188,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
512.479066849,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
464.481115341,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
464.415073395,2,1000,4,0,3,1,4,0,5,2,0,250.0,train,1,M
432.343959808,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
592.375993729,4,1000,3,0,3,1,4,0,5,2,0,250.0,train,5,M
512.769937515,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
1088.49310875,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
432.446956635,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
512.494087219,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
432.513952255,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
576.456069946,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
464.457035065,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
464.900016785,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
592.555999756,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
512.573003769,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
512.497901917,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
464.485883713,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
1584.53202248,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
576.444864273,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
992.542028427,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
544.526100159,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
576.459884644,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
464.536905289,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
528.460025787,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
544.37994957,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
416.391849518,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
400.546073914,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
464.577913284,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
496.432065964,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
464.614152908,2,1000,4,0,3,1,4,0,5,2,0,250.0,train,1,M
640.488862991,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
496.578931808,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
464.496850967,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
864.459991455,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
512.569904327,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
576.930999756,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
432.52491951,4,1000,3,0,3,1,4,0,5,2,0,250.0,train,5,M
544.459104538,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
432.56521225,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
688.551902771,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
544.682979584,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
832.497835159,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
448.385000229,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
496.498823166,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
672.436952591,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
576.499938965,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
496.846199036,3,1000,1,0,3,1,4,0,5,2,0,250.0,train,2,M
672.435998917,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
688.544034958,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
640.540122986,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
592.376947403,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
576.369047165,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
624.639034271,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
608.010053635,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
544.595003128,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
560.516119003,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
560.507059097,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
560.465097427,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
576.51591301,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
544.475078583,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
544.500112534,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
480.538129807,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
560.564994812,4,1000,3,0,3,1,4,0,5,2,0,250.0,train,5,M
576.443910599,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
464.54501152,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
448.451042175,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
480.396986008,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
592.912912369,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
560.492992401,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
624.487876892,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
624.58896637,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
528.534173965,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
576.542139053,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
864.609956741,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
464.931964874,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
544.558048248,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
576.554059982,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
688.413858414,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
512.444972992,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
624.888896942,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
592.478990555,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
496.482849121,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
528.486013412,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
464.437007904,2,1000,4,1,3,1,4,0,5,2,0,250.0,train,2,M
496.528148651,5,1000,5,1,3,1,4,0,5,2,0,250.0,train,5,M
480.443954468,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
496.428012848,1,1000,0,1,3,1,4,0,5,2,0,250.0,train,1,M
544.411897659,4,1000,3,1,3,1,4,0,5,2,0,250.0,train,4,M
480.247020721,0,1000,2,1,3,1,4,0,5,2,0,250.0,train,0,M
608.330011368,3,1000,1,1,3,1,4,0,5,2,0,250.0,train,3,M
