RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
857.737064362,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
602.182149887,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
394.301176071,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
650.409936905,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
538.457870483,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
539.916992188,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
458.430051804,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
410.269975662,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
618.407964706,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
410.407781601,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
394.140005112,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
426.517963409,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
650.506019592,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
506.404161453,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
379.878997803,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
538.099050522,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
395.911931992,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
458.548069,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
492.032051086,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
539.978981018,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
378.399848938,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
458.484888077,2,1000,1,0,2,3,1,4,0,5,0,250.0,train,1,M
393.73588562,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
475.2368927,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
554.469823837,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
426.516056061,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
490.531921387,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
442.51704216,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
410.54391861,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
666.529893875,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
522.380828857,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
666.315078735,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
586.383104324,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
426.48601532,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
587.364912033,3,1000,0,0,2,3,1,4,0,5,0,250.0,train,5,M
442.312002182,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
586.475133896,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
426.383972168,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
570.321083069,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
506.371021271,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
570.316076279,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
394.351005554,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
442.446947098,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
586.400032043,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
442.430019379,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
602.472066879,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
682.437181473,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
410.21490097,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
571.923017502,3,1000,0,0,2,3,1,4,0,5,0,250.0,train,4,M
394.530773163,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
410.320997238,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
522.459983826,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
490.468025208,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
410.520076752,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
474.509000778,3,1000,0,0,2,3,1,4,0,5,0,250.0,train,2,M
410.574913025,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
538.568973541,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
570.4870224,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
444.018125534,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
715.81196785,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
554.342985153,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
394.342899323,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
491.271018982,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
474.354028702,3,1000,0,0,2,3,1,4,0,5,0,250.0,train,4,M
442.320108414,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
522.347927094,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
587.713956833,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
459.20586586,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
330.441951752,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
539.863109589,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
363.950967789,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
426.272153854,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
410.327911377,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
394.454956055,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
587.209939957,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
570.536136627,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
426.466941833,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
618.46613884,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
458.453178406,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
762.512207031,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
490.435123444,3,1000,0,0,2,3,1,4,0,5,0,250.0,train,4,M
395.336151123,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
618.499994278,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
490.5128479,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
457.896947861,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
570.146083832,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
602.443933487,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
426.495075226,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
506.359100342,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
748.049974442,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
666.334152222,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
491.858005524,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
442.332029343,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
730.406999588,3,1000,0,0,2,3,1,4,0,5,0,250.0,train,2,M
570.364952087,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
586.431026459,1,1000,3,1,2,3,1,4,0,5,0,250.0,train,1,M
554.347038269,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
378.371953964,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
586.520910263,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
554.389953613,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
442.353963852,0,1000,5,1,2,3,1,4,0,5,0,250.0,train,0,M
491.231918335,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
441.898107529,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
651.23796463,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
587.876081467,5,1000,4,1,2,3,1,4,0,5,0,250.0,train,5,M
523.160934448,2,1000,1,1,2,3,1,4,0,5,0,250.0,train,2,M
571.884870529,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
842.528104782,3,1000,0,1,2,3,1,4,0,5,0,250.0,train,3,M
842.485904694,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
506.483078003,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
507.223844528,4,1000,2,1,2,3,1,4,0,5,0,250.0,train,4,M
