RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
3424.76296425,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
704.2760849,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
703.880786896,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
560.273170471,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
848.385095596,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
1103.94191742,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
752.397060394,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
752.934932709,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
752.452135086,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
736.418962479,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
799.889087677,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
624.358892441,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
528.370857239,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
608.485937119,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
512.456893921,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
528.121948242,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
623.615026474,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
544.33298111,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
528.295040131,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
592.226982117,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
896.294116974,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
400.233030319,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
511.960029602,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
640.331029892,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
624.257802963,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
560.775995255,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
688.376188278,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
640.748023987,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
464.419126511,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
528.860807419,0,1000,5,0,3,1,5,2,0,4,0,250.0,train,1,M
640.252113342,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
496.422052383,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
736.420154572,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
496.376037598,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
416.383981705,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
496.4158535,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
512.505054474,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
656.311035156,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
672.997951508,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
672.497987747,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
544.416904449,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
768.406152725,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
656.492948532,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
560.501098633,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
512.245893478,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
688.416004181,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
480.422019958,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
608.49905014,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
672.347068787,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
720.499992371,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
656.499147415,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
656.441926956,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
592.326164246,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
688.38596344,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
496.720075607,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
768.325090408,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
672.345161438,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
432.461977005,3,1000,1,0,3,1,5,2,0,4,0,250.0,train,2,M
848.141908646,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
864.34006691,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
864.431142807,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
656.468868256,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
1008.30197334,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
640.433073044,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
576.429843903,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
448.359012604,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
560.363054276,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
480.903863907,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
560.208082199,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
767.686843872,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
688.803911209,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
496.025085449,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
576.790094376,2,1000,2,0,3,1,5,2,0,4,0,250.0,train,3,M
575.515985489,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
608.785867691,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
640.446186066,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
672.49417305,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
640.446186066,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
672.430992126,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
977.355003357,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
640.316009521,2,1000,2,0,3,1,5,2,0,4,0,250.0,train,1,M
672.444105148,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
640.413045883,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
624.491930008,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
656.372785568,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
656.584024429,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
544.297933578,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
480.371952057,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
672.535896301,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
624.42612648,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
544.331073761,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
688.871860504,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
528.422832489,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
544.406175613,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
624.338150024,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
544.380187988,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
688.399076462,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
496.338129044,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
576.345920563,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
640.441894531,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
480.34286499,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
448.332071304,3,1000,1,0,3,1,5,2,0,4,0,250.0,train,4,M
1200.18315315,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
672.410011292,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
608.497142792,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
688.457012177,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
512.257814407,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
896.852016449,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
864.39204216,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
672.298908234,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
719.631910324,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
816.025972366,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
623.516082764,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
640.22898674,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
847.398996353,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
864.324092865,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
576.848983765,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
592.873811722,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
655.94792366,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
960.244894028,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
480.210065842,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
799.711942673,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
512.763977051,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
576.131105423,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
608.782052994,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
672.765016556,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
480.928897858,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
432.20281601,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
656.852960587,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
448.822975159,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
1056.89907074,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
688.83895874,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
1008.74900818,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
592.712879181,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
640.714168549,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
960.565090179,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
928.821086884,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
480.506896973,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
528.388977051,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
704.358816147,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
528.344869614,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
544.295072556,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
448.398828506,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
544.356107712,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
640.429973602,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
816.420078278,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
432.382106781,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
528.291940689,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
448.868989944,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
623.81196022,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
672.873020172,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
576.330184937,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
608.330965042,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
480.442047119,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
672.578811646,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
672.482967377,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
736.54294014,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
528.444051743,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
672.487974167,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
496.479034424,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
688.456058502,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
688.481092453,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
640.43712616,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
416.499853134,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
704.437017441,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
560.342073441,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
656.454086304,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
416.472911835,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
1104.54392433,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
640.385150909,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
495.986938477,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
736.471891403,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
544.306993484,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
560.560941696,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
512.534856796,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
592.550992966,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
528.439044952,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
672.747135162,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
816.770076752,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
1151.88789368,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
576.30610466,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
559.809923172,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
752.178907394,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
592.432022095,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
1088.51504326,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
720.564126968,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
720.556020737,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
800.448894501,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
416.448116302,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
624.704122543,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
513.454198837,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
784.368991852,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
432.238101959,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
544.496059418,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
576.246976852,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
687.767028809,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
528.028964996,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
576.472043991,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
528.482913971,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
512.870073318,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
544.463157654,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
608.821153641,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
528.567075729,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
720.765829086,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
544.368982315,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
848.405838013,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
448.452949524,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
544.47889328,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
480.438947678,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
560.490131378,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
592.47803688,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
576.407909393,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
608.316898346,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
592.384815216,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
577.311992645,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
560.477972031,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
512.784004211,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
672.511816025,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
736.460924149,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
672.479152679,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
592.480897903,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
656.433105469,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
576.401948929,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
624.373197556,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
512.315988541,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
768.573999405,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
816.381931305,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
576.771020889,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
608.326196671,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
592.350006104,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
704.313993454,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
560.322999954,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
560.283184052,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
656.368970871,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
720.435857773,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
560.199022293,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
688.153028488,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
912.139892578,4,1000,4,0,3,1,5,2,0,4,0,250.0,train,3,M
719.334125519,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
688.519954681,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
656.992197037,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
688.466072083,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
720.298051834,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
672.233104706,4,1000,4,1,3,1,5,2,0,4,0,250.0,train,4,M
576.29609108,0,1000,5,1,3,1,5,2,0,4,0,250.0,train,0,M
592.848062515,5,1000,3,1,3,1,5,2,0,4,0,250.0,train,5,M
544.873952866,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
784.862995148,2,1000,2,1,3,1,5,2,0,4,0,250.0,train,2,M
672.032117844,1,1000,0,1,3,1,5,2,0,4,0,250.0,train,1,M
495.543003082,3,1000,1,1,3,1,5,2,0,4,0,250.0,train,3,M
33790.6291485,0,1000,5,1,3,1,5,2,0,4,0,250.0,test,0,M
1711.8639946,2,1000,2,1,3,1,5,2,0,4,0,250.0,test,2,M
1599.99203682,1,1000,0,1,3,1,5,2,0,4,0,250.0,test,1,M
1056.28108978,2,1000,2,1,3,1,5,2,0,4,0,250.0,test,2,M
1328.31287384,2,1000,2,1,3,1,5,2,0,4,0,250.0,test,2,M
752.409934998,2,1000,2,1,3,1,5,2,0,4,0,250.0,test,2,M
1536.36097908,0,1000,5,1,3,1,5,2,0,4,0,250.0,test,0,M
1488.16680908,1,1000,0,1,3,1,5,2,0,4,0,250.0,test,1,M
672.431945801,5,1000,3,1,3,1,5,2,0,4,0,250.0,test,5,M
1024.49584007,4,1000,4,1,3,1,5,2,0,4,0,250.0,test,4,M
864.364862442,1,1000,0,1,3,1,5,2,0,4,0,250.0,test,1,M
1008.38184357,3,1000,1,1,3,1,5,2,0,4,0,250.0,test,3,M
704.367876053,3,1000,1,1,3,1,5,2,0,4,0,250.0,test,3,M
688.391923904,3,1000,1,1,3,1,5,2,0,4,0,250.0,test,3,M
736.02104187,1,1000,0,1,3,1,5,2,0,4,0,250.0,test,1,M
1152.44913101,1,1000,0,0,3,1,5,2,0,4,0,250.0,test,0,M
640.271902084,1,1000,0,1,3,1,5,2,0,4,0,250.0,test,1,M
736.256122589,3,1000,1,1,3,1,5,2,0,4,0,250.0,test,3,M
832.385063171,3,1000,1,1,3,1,5,2,0,4,0,250.0,test,3,M
1088.34195137,5,1000,3,1,3,1,5,2,0,4,0,250.0,test,5,M
1376.32799149,1,1000,0,1,3,1,5,2,0,4,0,250.0,test,1,M
1440.2179718,0,1000,5,1,3,1,5,2,0,4,0,250.0,test,0,M
720.287084579,2,1000,2,1,3,1,5,2,0,4,0,250.0,test,2,M
1296.31900787,0,1000,5,1,3,1,5,2,0,4,0,250.0,test,0,M
656.256914139,5,1000,3,1,3,1,5,2,0,4,0,250.0,test,5,M
576.390981674,0,1000,5,1,3,1,5,2,0,4,0,250.0,test,0,M
928.409099579,1,1000,0,1,3,1,5,2,0,4,0,250.0,test,1,M
880.532026291,5,1000,3,1,3,1,5,2,0,4,0,250.0,test,5,M
735.928058624,3,1000,1,1,3,1,5,2,0,4,0,250.0,test,3,M
608.492851257,5,1000,3,1,3,1,5,2,0,4,0,250.0,test,5,M
640.506029129,2,1000,2,1,3,1,5,2,0,4,0,250.0,test,2,M
656.441926956,2,1000,2,1,3,1,5,2,0,4,0,250.0,test,2,M
672.395944595,0,1000,5,1,3,1,5,2,0,4,0,250.0,test,0,M
