RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
48174.2939949,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
863.956928253,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
848.345994949,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
1200.22583008,4,1000,2,1,0,2,1,4,3,5,0,250.0,train,4,M
752.29382515,2,1000,0,1,0,2,1,4,3,5,0,250.0,train,2,M
1920.32885551,5,1000,4,1,0,2,1,4,3,5,0,250.0,train,5,M
1248.39186668,5,1000,4,1,0,2,1,4,3,5,0,250.0,train,5,M
816.861867905,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
736.482143402,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
751.181125641,5,1000,4,1,0,2,1,4,3,5,0,250.0,train,5,M
751.437902451,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
1104.65502739,5,1000,4,1,0,2,1,4,3,5,0,250.0,train,5,M
959.852933884,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
895.581007004,4,1000,2,1,0,2,1,4,3,5,0,250.0,train,4,M
687.326192856,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
511.226177216,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
544.263839722,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
975.440979004,4,1000,2,1,0,2,1,4,3,5,0,250.0,train,4,M
751.639842987,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
496.093034744,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
576.380968094,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
672.225952148,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
768.405914307,2,1000,0,1,0,2,1,4,3,5,0,250.0,train,2,M
463.575839996,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
719.434976578,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
607.628107071,2,1000,0,1,0,2,1,4,3,5,0,250.0,train,2,M
720.407962799,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
720.43800354,2,1000,0,1,0,2,1,4,3,5,0,250.0,train,2,M
847.61095047,5,1000,4,1,0,2,1,4,3,5,0,250.0,train,5,M
928.828001022,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
896.412134171,2,1000,0,1,0,2,1,4,3,5,0,250.0,train,2,M
688.368082047,1,1000,3,0,0,2,1,4,3,5,0,250.0,train,0,M
1008.31413269,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
688.804149628,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
671.332120895,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
608.472108841,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
655.512094498,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
1007.60197639,4,1000,2,1,0,2,1,4,3,5,0,250.0,train,4,M
991.462945938,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
799.582004547,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
751.503944397,4,1000,2,1,0,2,1,4,3,5,0,250.0,train,4,M
479.555845261,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
575.436115265,4,1000,2,1,0,2,1,4,3,5,0,250.0,train,4,M
703.994035721,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
639.637947083,5,1000,4,1,0,2,1,4,3,5,0,250.0,train,5,M
543.462991714,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
879.493951797,2,1000,0,0,0,2,1,4,3,5,0,250.0,train,3,M
671.514034271,2,1000,0,1,0,2,1,4,3,5,0,250.0,train,2,M
608.311891556,2,1000,0,1,0,2,1,4,3,5,0,250.0,train,2,M
735.717058182,5,1000,4,1,0,2,1,4,3,5,0,250.0,train,5,M
847.625017166,5,1000,4,1,0,2,1,4,3,5,0,250.0,train,5,M
1472.81193733,2,1000,0,1,0,2,1,4,3,5,0,250.0,train,2,M
863.554000854,0,1000,1,1,0,2,1,4,3,5,0,250.0,train,0,M
1839.38002586,5,1000,4,1,0,2,1,4,3,5,0,250.0,train,5,M
1055.81903458,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
607.329130173,1,1000,3,1,0,2,1,4,3,5,0,250.0,train,1,M
847.40281105,4,1000,2,1,0,2,1,4,3,5,0,250.0,train,4,M
735.702037811,3,1000,5,0,0,2,1,4,3,5,0,250.0,train,2,M
687.53695488,4,1000,2,1,0,2,1,4,3,5,0,250.0,train,4,M
1104.26712036,3,1000,5,1,0,2,1,4,3,5,0,250.0,train,3,M
