RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
2032.23896027,3,1000,4,0,4,5,2,1,0,3,0,250.0,train,4,M
623.934984207,3,1000,4,1,4,5,2,1,0,3,0,250.0,train,3,M
640.179157257,5,1000,0,1,4,5,2,1,0,3,0,250.0,train,5,M
496.193885803,3,1000,4,1,4,5,2,1,0,3,0,250.0,train,3,M
560.13584137,2,1000,3,0,4,5,2,1,0,3,0,250.0,train,1,M
480.148077011,5,1000,0,0,4,5,2,1,0,3,0,250.0,train,3,M
512.15004921,3,1000,4,1,4,5,2,1,0,3,0,250.0,train,3,M
496.171951294,2,1000,3,1,4,5,2,1,0,3,0,250.0,train,2,M
686.65599823,4,1000,1,1,4,5,2,1,0,3,0,250.0,train,4,M
688.146114349,1,1000,2,1,4,5,2,1,0,3,0,250.0,train,1,M
815.513134003,4,1000,1,1,4,5,2,1,0,3,0,250.0,train,4,M
624.083995819,1,1000,2,1,4,5,2,1,0,3,0,250.0,train,1,M
592.141866684,3,1000,4,1,4,5,2,1,0,3,0,250.0,train,3,M
432.179927826,5,1000,0,1,4,5,2,1,0,3,0,250.0,train,5,M
447.852134705,3,1000,4,0,4,5,2,1,0,3,0,250.0,train,4,M
863.883018494,1,1000,2,1,4,5,2,1,0,3,0,250.0,train,1,M
463.676929474,0,1000,5,1,4,5,2,1,0,3,0,250.0,train,0,M
608.289957047,2,1000,3,1,4,5,2,1,0,3,0,250.0,train,2,M
512.122154236,0,1000,5,1,4,5,2,1,0,3,0,250.0,train,0,M
496.255159378,5,1000,0,1,4,5,2,1,0,3,0,250.0,train,5,M
608.438014984,2,1000,3,1,4,5,2,1,0,3,0,250.0,train,2,M
416.507005692,0,1000,5,1,4,5,2,1,0,3,0,250.0,train,0,M
480.233192444,5,1000,0,1,4,5,2,1,0,3,0,250.0,train,5,M
480.345010757,1,1000,2,1,4,5,2,1,0,3,0,250.0,train,1,M
528.060913086,2,1000,3,0,4,5,2,1,0,3,0,250.0,train,1,M
528.156042099,5,1000,0,1,4,5,2,1,0,3,0,250.0,train,5,M
