RT,correct_response,ms-prestimblank,curstim,correct,SRmap_1,SRmap_0,SRmap_3,SRmap_2,SRmap_5,SRmap_4,ms-precue,ntrials,type,response,condition
1519.7429657,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
1071.98405266,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
592.175006866,1,1000,4,1,3,5,4,2,0,1,0,250.0,train,1,M
496.974945068,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
672.473907471,3,1000,1,0,3,5,4,2,0,1,0,250.0,train,4,M
672.247171402,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
560.370922089,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
528.31697464,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
464.226961136,3,1000,1,1,3,5,4,2,0,1,0,250.0,train,3,M
384.552001953,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
624.413013458,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
368.345975876,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
416.378974915,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
448.268890381,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
416.332006454,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
912.2569561,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
656.349897385,1,1000,4,1,3,5,4,2,0,1,0,250.0,train,1,M
496.36888504,1,1000,4,1,3,5,4,2,0,1,0,250.0,train,1,M
368.566989899,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
416.098833084,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
560.401916504,3,1000,1,0,3,5,4,2,0,1,0,250.0,train,2,M
512.422084808,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
464.543104172,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
432.495117188,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
608.476161957,1,1000,4,1,3,5,4,2,0,1,0,250.0,train,1,M
497.025966644,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
752.421855927,2,1000,2,1,3,5,4,2,0,1,0,250.0,train,2,M
576.460123062,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
513.287067413,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
464.416980743,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
1072.46279716,2,1000,2,0,3,5,4,2,0,1,0,250.0,train,3,M
592.309951782,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
512.377977371,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
624.16100502,1,1000,4,1,3,5,4,2,0,1,0,250.0,train,1,M
688.606023788,2,1000,2,1,3,5,4,2,0,1,0,250.0,train,2,M
512.577056885,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
592.439174652,2,1000,2,1,3,5,4,2,0,1,0,250.0,train,2,M
512.396097183,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
704.430103302,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
352.299928665,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
704.322814941,3,1000,1,1,3,5,4,2,0,1,0,250.0,train,3,M
448.345899582,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
512.053966522,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
576.352119446,2,1000,2,0,3,5,4,2,0,1,0,250.0,train,3,M
496.382951736,1,1000,4,1,3,5,4,2,0,1,0,250.0,train,1,M
736.304998398,3,1000,1,1,3,5,4,2,0,1,0,250.0,train,3,M
559.783935547,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
495.985031128,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
576.391935349,3,1000,1,1,3,5,4,2,0,1,0,250.0,train,3,M
704.513072968,2,1000,2,1,3,5,4,2,0,1,0,250.0,train,2,M
368.379116058,0,1000,5,1,3,5,4,2,0,1,0,250.0,train,0,M
480.029821396,1,1000,4,1,3,5,4,2,0,1,0,250.0,train,1,M
368.462085724,2,1000,2,1,3,5,4,2,0,1,0,250.0,train,2,M
576.21884346,2,1000,2,1,3,5,4,2,0,1,0,250.0,train,2,M
528.473138809,3,1000,1,1,3,5,4,2,0,1,0,250.0,train,3,M
399.801969528,3,1000,1,1,3,5,4,2,0,1,0,250.0,train,3,M
448.400020599,3,1000,1,1,3,5,4,2,0,1,0,250.0,train,3,M
512.34292984,2,1000,2,0,3,5,4,2,0,1,0,250.0,train,1,M
704.42700386,3,1000,1,1,3,5,4,2,0,1,0,250.0,train,3,M
608.503103256,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
480.148792267,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
496.475934982,4,1000,3,1,3,5,4,2,0,1,0,250.0,train,4,M
512.462854385,5,1000,0,1,3,5,4,2,0,1,0,250.0,train,5,M
