RT,SRmap_0,SRmap_1,SRmap_2,SRmap_3,SRmap_4,SRmap_5,condition,correct,correct_response,curstim,ms-precue,ms-prestimblank,ntrials,response,subject,trial,type
1024.63698387146,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,0,train
1328.1869888305664,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,1,train
576.8520832061768,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,3,C27AG,2,train
590.7697677612305,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,3,train
480.7858467102051,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,4,train
528.2759666442871,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,5,train
702.6150226593018,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,3,C27AG,6,train
497.4210262298584,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,7,train
720.754861831665,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,8,train
433.1510066986084,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,9,train
768.5480117797852,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,10,train
526.479959487915,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,11,train
448.5440254211426,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,12,train
976.6721725463867,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,13,train
496.4590072631836,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,14,train
512.9110813140869,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,15,train
561.5479946136475,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,16,train
673.0260848999023,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,17,train
656.6531658172607,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,18,train
592.8919315338135,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,19,train
721.0187911987305,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,20,train
496.52981758117676,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,21,train
641.0770416259766,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,22,train
448.8940238952637,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,23,train
592.8349494934082,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,24,train
446.81286811828613,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,25,train
448.6429691314697,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,26,train
560.9371662139893,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,3,C27AG,27,train
513.3199691772461,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,28,train
928.7300109863281,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,29,train
448.30918312072754,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,30,train
736.2990379333496,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,31,train
496.5658187866211,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,32,train
448.3778476715088,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,33,train
880.1069259643555,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,34,train
576.5860080718994,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,35,train
448.822021484375,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,36,train
496.5500831604004,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,37,train
544.6639060974121,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,38,train
624.8619556427002,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,39,train
657.3858261108398,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,40,train
544.6779727935791,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,41,train
512.5019550323486,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,42,train
672.3699569702148,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,43,train
448.4219551086426,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,44,train
592.3647880554199,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,45,train
497.38478660583496,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,46,train
481.4260005950928,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,47,train
832.7131271362305,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,48,train
449.4810104370117,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,49,train
624.3910789489746,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,50,train
462.9077911376953,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,51,train
577.0220756530762,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,3,C27AG,52,train
673.1879711151123,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,53,train
720.5188274383545,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,54,train
512.9039287567139,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,55,train
448.11201095581055,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,56,train
576.7660140991211,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,57,train
704.3120861053467,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,58,train
609.173059463501,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,59,train
512.1669769287109,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,60,train
704.4401168823242,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,61,train
641.0119533538818,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,62,train
576.509952545166,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,63,train
448.5158920288086,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,64,train
432.31892585754395,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,65,train
560.4391098022461,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,66,train
448.0140209197998,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,67,train
464.1139507293701,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,68,train
352.7340888977051,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,69,train
416.52703285217285,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,70,train
384.3579292297363,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,71,train
368.2060241699219,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,72,train
350.7568836212158,1,4,2,0,3,5,M,0,3,4,0,1000,250.0,2,C27AG,73,train
432.2991371154785,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,74,train
432.53397941589355,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,75,train
496.4289665222168,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,76,train
401.4549255371094,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,77,train
385.1299285888672,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,78,train
416.2900447845459,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,79,train
609.2040538787842,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,80,train
369.3969249725342,1,4,2,0,3,5,M,0,2,2,0,1000,250.0,1,C27AG,81,train
512.6349925994873,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,82,train
480.4081916809082,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,83,train
1040.2991771697998,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,84,train
833.3730697631836,1,4,2,0,3,5,M,0,3,4,0,1000,250.0,2,C27AG,85,train
1568.695068359375,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,86,train
1568.464994430542,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,87,train
944.5679187774658,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,88,train
448.7018585205078,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,89,train
689.0900135040283,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,90,train
2129.0318965911865,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,3,C27AG,91,train
1408.3449840545654,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,92,train
432.34992027282715,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,93,train
384.98616218566895,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,94,train
304.49509620666504,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,5,C27AG,95,train
528.4290313720703,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,96,train
480.6971549987793,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,97,train
897.007942199707,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,98,train
640.5022144317627,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,99,train
512.1479034423828,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,100,train
353.12390327453613,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,101,train
478.89184951782227,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,102,train
784.9099636077881,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,103,train
624.6981620788574,1,4,2,0,3,5,M,0,3,4,0,1000,250.0,2,C27AG,104,train
640.4340267181396,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,105,train
800.5681037902832,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,106,train
721.264123916626,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,107,train
529.4580459594727,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,108,train
512.998104095459,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,109,train
432.2187900543213,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,110,train
400.698184967041,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,111,train
992.5639629364014,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,112,train
512.4099254608154,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,113,train
1184.4508647918701,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,114,train
592.5009250640869,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,115,train
704.293966293335,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,116,train
577.017068862915,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,117,train
560.3740215301514,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,118,train
592.4968719482422,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,119,train
448.28104972839355,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,120,train
528.066873550415,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,121,train
576.7960548400879,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,122,train
513.1001472473145,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,123,train
448.4860897064209,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,124,train
784.8570346832275,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,125,train
912.4221801757812,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,126,train
640.6528949737549,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,3,C27AG,127,train
592.4289226531982,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,128,train
688.4980201721191,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,129,train
816.694974899292,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,130,train
640.4399871826172,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,131,train
448.4860897064209,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,132,train
608.6781024932861,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,133,train
464.3900394439697,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,134,train
513.261079788208,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,135,train
721.5230464935303,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,136,train
400.6638526916504,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,137,train
608.4930896759033,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,138,train
368.9301013946533,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,139,train
496.63686752319336,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,140,train
448.5650062561035,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,141,train
656.5580368041992,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,142,train
512.4630928039551,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,143,train
606.8880558013916,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,144,train
545.2420711517334,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,145,train
480.5729389190674,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,146,train
320.6470012664795,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,147,train
464.1759395599365,1,4,2,0,3,5,M,0,5,5,0,1000,250.0,3,C27AG,148,train
416.37611389160156,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,149,train
384.9470615386963,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,150,train
320.4500675201416,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,151,train
160.48002243041992,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,3,C27AG,152,train
112.84589767456055,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,153,train
384.4451904296875,1,4,2,0,3,5,M,0,2,2,0,1000,250.0,4,C27AG,154,train
417.1898365020752,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,155,train
544.3840026855469,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,156,train
608.3590984344482,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,157,train
448.38690757751465,1,4,2,0,3,5,M,0,3,4,0,1000,250.0,4,C27AG,158,train
609.0128421783447,1,4,2,0,3,5,M,1,1,0,0,1000,250.0,1,C27AG,159,train
736.4819049835205,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,3,C27AG,160,train
592.2341346740723,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,161,train
656.6390991210938,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,162,train
624.5038509368896,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,163,train
784.8389148712158,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,164,train
462.5511169433594,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,165,train
560.650110244751,1,4,2,0,3,5,M,1,5,5,0,1000,250.0,5,C27AG,166,train
513.1731033325195,1,4,2,0,3,5,M,0,4,1,0,1000,250.0,5,C27AG,167,train
752.6688575744629,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,168,train
657.2439670562744,1,4,2,0,3,5,M,1,2,2,0,1000,250.0,2,C27AG,169,train
449.0330219268799,1,4,2,0,3,5,M,1,0,3,0,1000,250.0,0,C27AG,170,train
368.488073348999,1,4,2,0,3,5,M,0,2,2,0,1000,250.0,1,C27AG,171,train
702.9070854187012,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,172,train
752.5351047515869,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,173,train
752.485990524292,1,4,2,0,3,5,M,1,4,1,0,1000,250.0,4,C27AG,174,train
896.5358734130859,1,4,2,0,3,5,M,1,3,4,0,1000,250.0,3,C27AG,175,train
