RT,SRmap_0,SRmap_1,SRmap_2,SRmap_3,SRmap_4,SRmap_5,condition,correct,correct_response,curstim,ms-precue,ms-prestimblank,ntrials,response,subject,trial,type
9296.335935592651,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,0,train
3920.4580783843994,2,0,5,3,1,4,H-,1,3,3,0,1000,250.0,3,D02EL,1,train
1600.525140762329,2,0,5,3,1,4,H-,1,0,1,0,1000,250.0,0,D02EL,2,train
1760.502815246582,2,0,5,3,1,4,H-,1,3,3,0,1000,250.0,3,D02EL,3,train
1664.5469665527344,2,0,5,3,1,4,H-,1,1,4,0,1000,250.0,1,D02EL,4,train
1520.6379890441895,2,0,5,3,1,4,H-,1,1,4,0,1000,250.0,1,D02EL,5,train
800.6398677825928,2,0,5,3,1,4,H-,1,1,4,0,1000,250.0,1,D02EL,6,train
1328.629970550537,2,0,5,3,1,4,H-,1,4,5,0,1000,250.0,4,D02EL,7,train
976.5591621398926,2,0,5,3,1,4,H-,1,0,1,0,1000,250.0,0,D02EL,8,train
1376.716136932373,2,0,5,3,1,4,H-,1,4,5,0,1000,250.0,4,D02EL,9,train
1120.7859516143799,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,10,train
1200.706958770752,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,11,train
768.730878829956,2,0,5,3,1,4,H-,1,0,1,0,1000,250.0,0,D02EL,12,train
1120.751142501831,2,0,5,3,1,4,H-,1,3,3,0,1000,250.0,3,D02EL,13,train
720.7839488983154,2,0,5,3,1,4,H-,1,0,1,0,1000,250.0,0,D02EL,14,train
464.6952152252197,2,0,5,3,1,4,H-,1,0,1,0,1000,250.0,0,D02EL,15,train
1152.6319980621338,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,16,train
1120.959997177124,2,0,5,3,1,4,H-,1,4,5,0,1000,250.0,4,D02EL,17,train
768.7039375305176,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,18,train
800.9021282196045,2,0,5,3,1,4,H-,1,5,2,0,1000,250.0,5,D02EL,19,train
736.9279861450195,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,20,train
576.8709182739258,2,0,5,3,1,4,H-,1,0,1,0,1000,250.0,0,D02EL,21,train
560.8510971069336,2,0,5,3,1,4,H-,1,0,1,0,1000,250.0,0,D02EL,22,train
448.8708972930908,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,23,train
608.9951992034912,2,0,5,3,1,4,H-,1,1,4,0,1000,250.0,1,D02EL,24,train
512.9110813140869,2,0,5,3,1,4,H-,1,0,1,0,1000,250.0,0,D02EL,25,train
384.65118408203125,2,0,5,3,1,4,H-,0,3,3,0,1000,250.0,0,D02EL,26,train
1104.87699508667,2,0,5,3,1,4,H-,1,4,5,0,1000,250.0,4,D02EL,27,train
768.5542106628418,2,0,5,3,1,4,H-,1,5,2,0,1000,250.0,5,D02EL,28,train
1024.857997894287,2,0,5,3,1,4,H-,1,1,4,0,1000,250.0,1,D02EL,29,train
512.5041007995605,2,0,5,3,1,4,H-,1,1,4,0,1000,250.0,1,D02EL,30,train
800.7478713989258,2,0,5,3,1,4,H-,1,5,2,0,1000,250.0,5,D02EL,31,train
656.5401554107666,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,32,train
736.6089820861816,2,0,5,3,1,4,H-,1,5,2,0,1000,250.0,5,D02EL,33,train
752.7399063110352,2,0,5,3,1,4,H-,1,0,1,0,1000,250.0,0,D02EL,34,train
608.7241172790527,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,35,train
624.7329711914062,2,0,5,3,1,4,H-,1,5,2,0,1000,250.0,5,D02EL,36,train
1328.5679817199707,2,0,5,3,1,4,H-,1,3,3,0,1000,250.0,3,D02EL,37,train
463.74011039733887,2,0,5,3,1,4,H-,1,3,3,0,1000,250.0,3,D02EL,38,train
640.5479907989502,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,39,train
560.5909824371338,2,0,5,3,1,4,H-,0,0,1,0,1000,250.0,2,D02EL,40,train
544.625997543335,2,0,5,3,1,4,H-,1,5,2,0,1000,250.0,5,D02EL,41,train
1296.5240478515625,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,42,train
560.5919361114502,2,0,5,3,1,4,H-,1,2,0,0,1000,250.0,2,D02EL,43,train
944.645881652832,2,0,5,3,1,4,H-,1,4,5,0,1000,250.0,4,D02EL,44,train
