RT,SRmap_0,SRmap_1,SRmap_2,SRmap_3,SRmap_4,SRmap_5,condition,correct,correct_response,curstim,ms-precue,ms-prestimblank,ntrials,response,subject,trial,type
6877.80499458313,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,0,train
1023.7748622894287,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,1,train
1167.8459644317627,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,2,train
3103.25288772583,4,0,2,5,3,1,E+,1,2,2,400,600,250.0,2,D14AE,3,train
1775.7031917572021,4,0,2,5,3,1,E+,0,1,5,400,600,250.0,2,D14AE,4,train
1439.7361278533936,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,5,train
895.9009647369385,4,0,2,5,3,1,E+,1,1,5,400,600,250.0,1,D14AE,6,train
1215.1570320129395,4,0,2,5,3,1,E+,1,2,2,400,600,250.0,2,D14AE,7,train
639.2300128936768,4,0,2,5,3,1,E+,0,1,5,400,600,250.0,0,D14AE,8,train
1439.1560554504395,4,0,2,5,3,1,E+,1,2,2,400,600,250.0,2,D14AE,9,train
479.2289733886719,4,0,2,5,3,1,E+,1,1,5,400,600,250.0,1,D14AE,10,train
1167.2189235687256,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,11,train
959.2671394348145,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,12,train
1199.249029159546,4,0,2,5,3,1,E+,1,1,5,400,600,250.0,1,D14AE,13,train
1023.2489109039307,4,0,2,5,3,1,E+,0,4,0,400,600,250.0,1,D14AE,14,train
943.2060718536377,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,15,train
815.5021667480469,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,16,train
1071.22802734375,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,17,train
2575.2639770507812,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,18,train
1279.2129516601562,4,0,2,5,3,1,E+,1,1,5,400,600,250.0,1,D14AE,19,train
1647.2969055175781,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,20,train
1039.3030643463135,4,0,2,5,3,1,E+,1,2,2,400,600,250.0,2,D14AE,21,train
575.1769542694092,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,22,train
2351.242780685425,4,0,2,5,3,1,E+,0,4,0,400,600,250.0,5,D14AE,23,train
575.3021240234375,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,24,train
527.036190032959,4,0,2,5,3,1,E+,1,2,2,400,600,250.0,2,D14AE,25,train
751.2919902801514,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,26,train
623.2719421386719,4,0,2,5,3,1,E+,1,1,5,400,600,250.0,1,D14AE,27,train
495.1038360595703,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,28,train
463.67406845092773,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,29,train
655.1339626312256,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,30,train
607.6719760894775,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,31,train
671.226978302002,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,32,train
415.2259826660156,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,33,train
415.20094871520996,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,34,train
399.791955947876,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,35,train
783.4270000457764,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,36,train
479.10499572753906,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,37,train
879.2691230773926,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,38,train
621.9968795776367,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,39,train
350.59595108032227,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,40,train
382.5681209564209,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,41,train
462.5389575958252,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,42,train
414.57581520080566,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,43,train
446.5639591217041,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,44,train
350.6190776824951,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,45,train
302.97088623046875,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,46,train
622.5278377532959,4,0,2,5,3,1,E+,1,2,2,400,600,250.0,2,D14AE,47,train
399.23620223999023,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,48,train
351.23300552368164,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,49,train
303.1759262084961,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,50,train
655.1971435546875,4,0,2,5,3,1,E+,0,2,2,400,600,250.0,3,D14AE,51,train
287.2200012207031,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,52,train
431.2100410461426,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,53,train
255.16295433044434,4,0,2,5,3,1,E+,1,1,5,400,600,250.0,1,D14AE,54,train
255.24306297302246,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,55,train
15.356063842773438,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,56,train
191.148042678833,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,57,train
127.3040771484375,4,0,2,5,3,1,E+,0,0,1,400,600,250.0,2,D14AE,58,train
303.264856338501,4,0,2,5,3,1,E+,1,1,5,400,600,250.0,1,D14AE,59,train
399.28412437438965,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,60,train
175.2450466156006,4,0,2,5,3,1,E+,1,1,5,400,600,250.0,1,D14AE,61,train
143.3548927307129,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,62,train
175.3380298614502,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,63,train
335.28590202331543,4,0,2,5,3,1,E+,1,2,2,400,600,250.0,2,D14AE,64,train
479.2470932006836,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,65,train
223.18291664123535,4,0,2,5,3,1,E+,0,2,2,400,600,250.0,1,D14AE,66,train
751.2640953063965,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,67,train
95.1998233795166,4,0,2,5,3,1,E+,1,3,4,400,600,250.0,3,D14AE,68,train
255.34319877624512,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,69,train
527.1909236907959,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,70,train
367.2189712524414,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,71,train
255.18321990966797,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,72,train
559.2961311340332,4,0,2,5,3,1,E+,1,4,0,400,600,250.0,4,D14AE,73,train
223.28710556030273,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,74,train
191.06388092041016,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,75,train
175.26793479919434,4,0,2,5,3,1,E+,1,5,3,400,600,250.0,5,D14AE,76,train
255.2030086517334,4,0,2,5,3,1,E+,1,0,1,400,600,250.0,0,D14AE,77,train
415.32397270202637,4,0,2,5,3,1,E+,1,2,2,400,600,250.0,2,D14AE,78,train
