RT,SRmap_0,SRmap_1,SRmap_2,SRmap_3,SRmap_4,SRmap_5,condition,correct,correct_response,curstim,ms-precue,ms-prestimblank,ntrials,response,subject,trial,type
2160.3591442108154,5,2,0,1,4,3,H-,0,1,3,0,1000,250.0,0,D25AS,0,train
2544.485092163086,5,2,0,1,4,3,H-,1,3,5,0,1000,250.0,3,D25AS,1,train
1216.4819240570068,5,2,0,1,4,3,H-,1,1,3,0,1000,250.0,1,D25AS,2,train
3568.7460899353027,5,2,0,1,4,3,H-,0,5,0,0,1000,250.0,3,D25AS,3,train
1696.6829299926758,5,2,0,1,4,3,H-,1,0,2,0,1000,250.0,0,D25AS,4,train
1088.6991024017334,5,2,0,1,4,3,H-,1,5,0,0,1000,250.0,5,D25AS,5,train
1120.7079887390137,5,2,0,1,4,3,H-,1,4,4,0,1000,250.0,4,D25AS,6,train
1232.72705078125,5,2,0,1,4,3,H-,1,2,1,0,1000,250.0,2,D25AS,7,train
736.7198467254639,5,2,0,1,4,3,H-,1,5,0,0,1000,250.0,5,D25AS,8,train
1088.719129562378,5,2,0,1,4,3,H-,1,0,2,0,1000,250.0,0,D25AS,9,train
2128.9100646972656,5,2,0,1,4,3,H-,1,5,0,0,1000,250.0,5,D25AS,10,train
1840.7740592956543,5,2,0,1,4,3,H-,1,2,1,0,1000,250.0,2,D25AS,11,train
1040.816068649292,5,2,0,1,4,3,H-,1,4,4,0,1000,250.0,4,D25AS,12,train
912.6698970794678,5,2,0,1,4,3,H-,1,3,5,0,1000,250.0,3,D25AS,13,train
896.691083908081,5,2,0,1,4,3,H-,1,1,3,0,1000,250.0,1,D25AS,14,train
912.7261638641357,5,2,0,1,4,3,H-,1,0,2,0,1000,250.0,0,D25AS,15,train
704.7021389007568,5,2,0,1,4,3,H-,1,5,0,0,1000,250.0,5,D25AS,16,train
736.7110252380371,5,2,0,1,4,3,H-,1,1,3,0,1000,250.0,1,D25AS,17,train
880.7518482208252,5,2,0,1,4,3,H-,1,3,5,0,1000,250.0,3,D25AS,18,train
656.6948890686035,5,2,0,1,4,3,H-,1,0,2,0,1000,250.0,0,D25AS,19,train
496.71196937561035,5,2,0,1,4,3,H-,1,0,2,0,1000,250.0,0,D25AS,20,train
736.8710041046143,5,2,0,1,4,3,H-,1,3,5,0,1000,250.0,3,D25AS,21,train
944.6840286254883,5,2,0,1,4,3,H-,1,4,4,0,1000,250.0,4,D25AS,22,train
800.8201122283936,5,2,0,1,4,3,H-,1,2,1,0,1000,250.0,2,D25AS,23,train
640.7980918884277,5,2,0,1,4,3,H-,1,1,3,0,1000,250.0,1,D25AS,24,train
672.6019382476807,5,2,0,1,4,3,H-,1,1,3,0,1000,250.0,1,D25AS,25,train
624.6559619903564,5,2,0,1,4,3,H-,0,3,5,0,1000,250.0,1,D25AS,26,train
976.8919944763184,5,2,0,1,4,3,H-,1,4,4,0,1000,250.0,4,D25AS,27,train
656.6691398620605,5,2,0,1,4,3,H-,1,0,2,0,1000,250.0,0,D25AS,28,train
944.8051452636719,5,2,0,1,4,3,H-,1,2,1,0,1000,250.0,2,D25AS,29,train
1088.7911319732666,5,2,0,1,4,3,H-,1,4,4,0,1000,250.0,4,D25AS,30,train
640.5520439147949,5,2,0,1,4,3,H-,1,0,2,0,1000,250.0,0,D25AS,31,train
