RT,SRmap_0,SRmap_1,SRmap_2,SRmap_3,SRmap_4,SRmap_5,condition,correct,correct_response,curstim,ms-precue,ms-prestimblank,ntrials,response,subject,trial,type
2638.0250453948975,3,4,0,5,1,2,E+,0,3,0,400,600,250.0,4,E10RD,0,train
3502.9728412628174,3,4,0,5,1,2,E+,1,0,2,400,600,250.0,0,E10RD,1,train
2383.1470012664795,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,2,train
879.2829513549805,3,4,0,5,1,2,E+,1,0,2,400,600,250.0,0,E10RD,3,train
847.1958637237549,3,4,0,5,1,2,E+,1,2,5,400,600,250.0,2,E10RD,4,train
2415.523052215576,3,4,0,5,1,2,E+,1,1,4,400,600,250.0,1,E10RD,5,train
1343.0721759796143,3,4,0,5,1,2,E+,1,5,3,400,600,250.0,5,E10RD,6,train
1167.099952697754,3,4,0,5,1,2,E+,1,1,4,400,600,250.0,1,E10RD,7,train
1231.1558723449707,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,8,train
1295.2921390533447,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,9,train
271.4581489562988,3,4,0,5,1,2,E+,1,0,2,400,600,250.0,0,E10RD,10,train
255.45692443847656,3,4,0,5,1,2,E+,1,5,3,400,600,250.0,5,E10RD,11,train
335.5100154876709,3,4,0,5,1,2,E+,1,5,3,400,600,250.0,5,E10RD,12,train
159.1939926147461,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,13,train
383.23402404785156,3,4,0,5,1,2,E+,0,3,0,400,600,250.0,2,E10RD,14,train
559.5560073852539,3,4,0,5,1,2,E+,1,5,3,400,600,250.0,5,E10RD,15,train
223.14691543579102,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,16,train
255.15389442443848,3,4,0,5,1,2,E+,0,2,5,400,600,250.0,1,E10RD,17,train
303.1940460205078,3,4,0,5,1,2,E+,1,2,5,400,600,250.0,2,E10RD,18,train
351.20606422424316,3,4,0,5,1,2,E+,0,3,0,400,600,250.0,4,E10RD,19,train
319.2257881164551,3,4,0,5,1,2,E+,1,2,5,400,600,250.0,2,E10RD,20,train
382.98702239990234,3,4,0,5,1,2,E+,1,1,4,400,600,250.0,1,E10RD,21,train
671.2749004364014,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,22,train
575.2089023590088,3,4,0,5,1,2,E+,1,1,4,400,600,250.0,1,E10RD,23,train
191.26200675964355,3,4,0,5,1,2,E+,1,5,3,400,600,250.0,5,E10RD,24,train
255.1748752593994,3,4,0,5,1,2,E+,1,0,2,400,600,250.0,0,E10RD,25,train
303.50399017333984,3,4,0,5,1,2,E+,0,3,0,400,600,250.0,2,E10RD,26,train
687.3409748077393,3,4,0,5,1,2,E+,1,0,2,400,600,250.0,0,E10RD,27,train
479.18009757995605,3,4,0,5,1,2,E+,1,0,2,400,600,250.0,0,E10RD,28,train
351.24897956848145,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,29,train
95.2599048614502,3,4,0,5,1,2,E+,1,3,0,400,600,250.0,3,E10RD,30,train
239.13002014160156,3,4,0,5,1,2,E+,1,5,3,400,600,250.0,5,E10RD,31,train
239.15719985961914,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,32,train
239.5799160003662,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,33,train
95.21985054016113,3,4,0,5,1,2,E+,0,1,4,400,600,250.0,3,E10RD,34,train
479.25686836242676,3,4,0,5,1,2,E+,1,3,0,400,600,250.0,3,E10RD,35,train
143.2950496673584,3,4,0,5,1,2,E+,1,0,2,400,600,250.0,0,E10RD,36,train
655.2829742431641,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,37,train
367.22302436828613,3,4,0,5,1,2,E+,1,4,1,400,600,250.0,4,E10RD,38,train
287.20784187316895,3,4,0,5,1,2,E+,1,2,5,400,600,250.0,2,E10RD,39,train
223.1919765472412,3,4,0,5,1,2,E+,1,2,5,400,600,250.0,2,E10RD,40,train
239.0890121459961,3,4,0,5,1,2,E+,1,3,0,400,600,250.0,3,E10RD,41,train
