RT,SRmap_0,SRmap_1,SRmap_2,SRmap_3,SRmap_4,SRmap_5,condition,correct,correct_response,curstim,ms-precue,ms-prestimblank,ntrials,response,subject,trial,type
10192.150831222534,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,0,train
5440.982103347778,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,1,train
2288.5119915008545,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,2,train
5040.79008102417,0,4,1,5,2,3,H+,1,2,4,0,1000,250.0,2,c04rh,3,train
5712.551832199097,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,4,train
3166.9681072235107,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,5,train
2016.6199207305908,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,6,train
1984.821081161499,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,7,train
1505.4569244384766,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,8,train
2126.840114593506,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,9,train
1345.6380367279053,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,10,train
1969.0721035003662,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,11,train
1457.2370052337646,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,12,train
2064.689874649048,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,13,train
2000.1840591430664,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,14,train
1696.3629722595215,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,15,train
1569.4279670715332,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,16,train
1984.6410751342773,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,17,train
1376.4140605926514,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,18,train
1024.2562294006348,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,19,train
929.3439388275146,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,20,train
1169.1181659698486,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,21,train
1968.756914138794,0,4,1,5,2,3,H+,0,5,3,0,1000,250.0,4,c04rh,22,train
1296.4417934417725,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,23,train
2896.0750102996826,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,24,train
2112.4041080474854,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,25,train
1953.4180164337158,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,26,train
912.6431941986084,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,27,train
2016.3941383361816,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,28,train
3168.5760021209717,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,29,train
1953.1128406524658,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,30,train
1040.3621196746826,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,31,train
1617.1798706054688,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,32,train
1585.1199626922607,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,33,train
2000.6740093231201,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,34,train
2128.351926803589,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,35,train
1313.00687789917,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,36,train
1521.1551189422607,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,37,train
1312.5059604644775,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,38,train
1280.663013458252,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,39,train
1264.211893081665,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,40,train
961.0741138458252,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,41,train
2257.0691108703613,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,42,train
1646.733045578003,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,43,train
1280.5218696594238,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,44,train
592.6918983459473,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,45,train
640.718936920166,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,46,train
1329.0579319000244,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,47,train
2768.3188915252686,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,48,train
1521.09694480896,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,49,train
1488.3620738983154,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,50,train
1153.2912254333496,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,51,train
641.5309906005859,0,4,1,5,2,3,H+,1,1,2,0,1000,250.0,1,c04rh,52,train
1088.5488986968994,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,53,train
4048.7301349639893,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,54,train
1184.3769550323486,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,55,train
1217.1430587768555,0,4,1,5,2,3,H+,1,5,3,0,1000,250.0,5,c04rh,56,train
1089.176893234253,0,4,1,5,2,3,H+,1,3,5,0,1000,250.0,3,c04rh,57,train
1104.1991710662842,0,4,1,5,2,3,H+,1,4,1,0,1000,250.0,4,c04rh,58,train
1152.435064315796,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,59,train
608.4301471710205,0,4,1,5,2,3,H+,1,0,0,0,1000,250.0,0,c04rh,60,train
